date,city,precipitation,avg_temp,temp_max,temp_min,humidity,wind_speed,weather_condition,season
2023-03-21,Delhi,0.0,42.3,45.3,37.6,37.8,8.2,Extreme Heat,Summer
2023-03-22,Delhi,0.0,38.9,41.9,36.8,46.8,14.8,Clear,Summer
2023-03-23,Delhi,0.0,41.2,46.0,37.5,38.8,9.6,Extreme Heat,Summer
2023-03-24,Delhi,0.0,43.6,47.0,39.2,40.9,16.3,Extreme Heat,Summer
2023-03-25,Delhi,0.0,38.8,42.9,34.2,41.7,11.0,Clear,Summer
2023-03-26,Delhi,0.0,36.0,38.0,33.2,47.3,16.9,Clear,Summer
2023-03-27,Delhi,0.5,44.3,48.3,41.3,42.7,12.2,Extreme Heat,Summer
2023-03-28,Delhi,0.0,44.0,47.0,41.7,48.1,11.0,Extreme Heat,Summer
2023-03-29,Delhi,0.0,36.6,40.4,34.5,35.3,6.6,Clear,Summer
2023-03-30,Delhi,0.0,36.1,40.1,33.1,46.9,16.7,Clear,Summer
2023-03-31,Delhi,0.0,44.3,49.0,39.5,42.6,7.9,Extreme Heat,Summer
2023-04-01,Delhi,0.0,36.7,40.8,34.1,47.3,11.5,Clear,Summer
2023-04-02,Delhi,0.0,41.6,44.1,37.4,36.7,11.5,Extreme Heat,Summer
2023-04-03,Delhi,0.0,35.9,39.9,32.6,42.7,15.2,Clear,Summer
2023-04-04,Delhi,0.0,39.3,43.7,36.0,39.7,10.0,Clear,Summer
2023-04-05,Delhi,0.0,40.1,43.5,35.3,35.5,18.0,Extreme Heat,Summer
2023-04-06,Delhi,0.0,42.8,47.2,38.5,42.4,10.1,Extreme Heat,Summer
2023-04-07,Delhi,0.0,37.4,39.8,32.4,45.0,16.7,Clear,Summer
2023-04-08,Delhi,0.0,38.7,42.0,35.9,39.3,10.4,Clear,Summer
2023-04-09,Delhi,0.0,44.8,49.2,40.2,39.2,14.1,Extreme Heat,Summer
2023-04-10,Delhi,0.0,44.7,47.7,40.2,36.7,10.6,Extreme Heat,Summer
2023-04-11,Delhi,0.0,42.7,44.7,38.9,48.3,8.2,Extreme Heat,Summer
2023-04-12,Delhi,0.0,36.0,39.0,32.3,35.2,12.7,Clear,Summer
2023-04-13,Delhi,0.0,36.7,40.8,34.6,35.9,11.2,Clear,Summer
2023-04-14,Delhi,0.0,35.9,39.4,33.6,43.9,14.1,Clear,Summer
2023-04-15,Delhi,0.0,43.8,48.6,41.1,30.9,8.0,Extreme Heat,Summer
2023-04-16,Delhi,0.0,36.6,40.3,33.2,43.8,12.4,Clear,Summer
2023-04-17,Delhi,0.0,35.5,39.7,31.6,33.0,6.6,Clear,Summer
2023-04-18,Delhi,0.0,39.2,43.1,36.3,39.4,12.0,Clear,Summer
2023-04-19,Delhi,0.0,38.8,42.6,34.3,40.1,7.4,Clear,Summer
2023-04-20,Delhi,0.1,44.0,48.4,41.8,40.4,17.5,Extreme Heat,Summer
2023-04-21,Delhi,0.0,36.0,39.4,33.2,33.2,15.8,Clear,Summer
2023-04-22,Delhi,0.0,39.8,43.0,35.0,40.4,10.0,Clear,Summer
2023-04-23,Delhi,0.0,37.1,39.9,33.0,34.6,14.2,Clear,Summer
2023-04-24,Delhi,0.0,41.7,45.6,38.4,35.5,19.3,Extreme Heat,Summer
2023-04-25,Delhi,0.0,37.3,40.9,33.6,30.8,9.3,Clear,Summer
2023-04-26,Delhi,0.0,37.1,41.9,34.1,35.1,6.9,Clear,Summer
2023-04-27,Delhi,0.0,44.8,48.8,40.6,45.3,5.9,Extreme Heat,Summer
2023-04-28,Delhi,0.0,38.8,43.7,36.5,34.3,12.6,Clear,Summer
2023-04-29,Delhi,0.0,42.6,47.2,37.8,40.0,6.9,Extreme Heat,Summer
2023-04-30,Delhi,0.0,39.7,41.9,36.2,48.8,9.1,Clear,Summer
2023-05-01,Delhi,0.0,35.3,38.0,31.1,46.7,14.8,Clear,Summer
2023-05-02,Delhi,0.0,42.4,46.7,39.4,49.0,8.0,Extreme Heat,Summer
2023-05-03,Delhi,0.0,35.9,38.9,31.1,33.3,11.9,Clear,Summer
2023-05-04,Delhi,0.5,38.9,42.2,34.6,39.8,13.3,Clear,Summer
2023-05-05,Delhi,0.0,35.5,39.3,31.8,45.9,15.2,Clear,Summer
2023-05-06,Delhi,0.0,39.1,41.4,35.7,46.9,9.9,Clear,Summer
2023-05-07,Delhi,0.0,40.0,42.6,35.1,41.0,12.5,Clear,Summer
2023-05-08,Delhi,0.0,39.4,42.1,34.7,39.7,11.1,Clear,Summer
2023-05-09,Delhi,0.1,36.7,40.7,33.5,36.8,7.8,Clear,Summer
2023-05-10,Delhi,0.0,42.4,46.2,38.4,40.0,20.0,Extreme Heat,Summer
2023-05-11,Delhi,0.0,39.4,43.0,35.5,32.8,7.1,Clear,Summer
2023-05-12,Delhi,0.0,38.2,42.1,33.7,41.7,14.9,Clear,Summer
2023-05-13,Delhi,0.0,42.5,44.5,37.6,36.5,9.4,Extreme Heat,Summer
2023-05-14,Delhi,0.0,40.0,44.2,37.4,31.1,10.7,Clear,Summer
2023-05-15,Delhi,0.0,40.3,43.1,37.5,30.8,5.0,Extreme Heat,Summer
2023-05-16,Delhi,0.0,36.4,38.5,32.7,37.9,18.0,Clear,Summer
2023-05-17,Delhi,0.0,37.4,42.0,32.5,32.1,13.8,Clear,Summer
2023-05-18,Delhi,0.0,38.0,42.1,35.7,45.1,8.1,Clear,Summer
2023-05-19,Delhi,0.0,39.2,42.5,36.9,43.2,10.9,Clear,Summer
2023-05-20,Delhi,0.0,36.2,39.7,32.5,36.5,14.4,Clear,Summer
2023-05-21,Delhi,0.0,43.8,47.3,40.3,45.9,13.7,Extreme Heat,Summer
2023-05-22,Delhi,0.0,40.4,43.6,37.2,33.7,5.2,Extreme Heat,Summer
2023-05-23,Delhi,0.0,37.2,42.1,32.4,38.2,7.7,Clear,Summer
2023-05-24,Delhi,0.0,42.3,46.8,38.4,41.6,7.1,Extreme Heat,Summer
2023-05-25,Delhi,0.0,43.2,47.4,40.4,42.8,15.6,Extreme Heat,Summer
2023-05-26,Delhi,0.0,38.9,42.3,34.7,46.0,14.7,Clear,Summer
2023-05-27,Delhi,0.0,40.2,42.4,38.0,37.5,19.3,Extreme Heat,Summer
2023-05-28,Delhi,0.0,43.4,47.3,40.4,32.1,11.5,Extreme Heat,Summer
2023-05-29,Delhi,0.0,42.5,46.5,38.3,36.4,14.2,Extreme Heat,Summer
2023-05-30,Delhi,0.0,38.6,43.2,33.6,31.5,8.4,Clear,Summer
2023-05-31,Delhi,0.0,40.7,44.7,38.5,30.5,12.5,Extreme Heat,Summer
2023-06-01,Delhi,18.16,31.9,36.8,29.1,80.4,9.4,Rainy,Monsoon
2023-06-02,Delhi,63.37,30.5,35.3,27.4,87.5,8.6,Heavy Rain,Monsoon
2023-06-03,Delhi,49.03,32.6,36.2,28.2,90.3,17.7,Rainy,Monsoon
2023-06-04,Delhi,19.26,34.1,37.6,29.3,94.2,12.7,Rainy,Monsoon
2023-06-05,Delhi,21.39,32.8,36.0,27.9,88.7,13.8,Rainy,Monsoon
2023-06-06,Delhi,83.56,31.2,33.4,26.4,74.2,14.0,Heavy Rain,Monsoon
2023-06-07,Delhi,97.51,28.1,31.5,24.8,78.3,17.8,Heavy Rain,Monsoon
2023-06-08,Delhi,81.1,28.3,31.5,23.8,92.2,8.0,Heavy Rain,Monsoon
2023-06-09,Delhi,88.93,29.1,33.3,27.0,79.7,6.4,Heavy Rain,Monsoon
2023-06-10,Delhi,94.67,34.5,39.1,31.6,79.2,5.3,Heavy Rain,Monsoon
2023-06-11,Delhi,17.44,34.1,38.2,30.8,75.7,19.4,Rainy,Monsoon
2023-06-12,Delhi,15.79,33.7,37.3,29.8,92.4,5.2,Rainy,Monsoon
2023-06-13,Delhi,66.32,34.1,38.1,32.1,73.5,10.1,Heavy Rain,Monsoon
2023-06-14,Delhi,14.03,29.6,33.5,27.2,81.3,13.4,Rainy,Monsoon
2023-06-15,Delhi,47.47,33.5,38.2,30.8,86.2,19.2,Rainy,Monsoon
2023-06-16,Delhi,94.0,28.0,33.0,24.2,83.8,18.4,Heavy Rain,Monsoon
2023-06-17,Delhi,2.87,28.1,30.7,25.2,93.0,5.3,High Humidity,Monsoon
2023-06-18,Delhi,20.0,33.8,38.0,29.1,72.6,14.7,Rainy,Monsoon
2023-06-19,Delhi,58.27,28.9,32.2,24.9,75.8,7.1,Heavy Rain,Monsoon
2023-06-20,Delhi,89.6,29.7,33.2,27.2,87.8,10.0,Heavy Rain,Monsoon
2023-06-21,Delhi,20.84,29.5,33.7,25.6,80.1,17.1,Rainy,Monsoon
2023-06-22,Delhi,52.38,28.1,33.1,24.3,70.1,18.9,Heavy Rain,Monsoon
2023-06-23,Delhi,67.32,29.7,31.8,27.5,86.0,12.4,Heavy Rain,Monsoon
2023-06-24,Delhi,90.01,28.9,31.3,26.6,91.7,17.1,Heavy Rain,Monsoon
2023-06-25,Delhi,95.29,31.9,36.3,28.1,80.5,12.2,Heavy Rain,Monsoon
2023-06-26,Delhi,70.25,34.2,36.6,32.0,71.1,14.5,Heavy Rain,Monsoon
2023-06-27,Delhi,99.45,30.3,33.5,25.9,76.8,9.9,Heavy Rain,Monsoon
2023-06-28,Delhi,17.73,33.9,37.2,31.4,92.7,11.6,Rainy,Monsoon
2023-06-29,Delhi,50.34,33.9,36.0,31.2,79.4,10.6,Heavy Rain,Monsoon
2023-06-30,Delhi,52.94,34.9,39.1,31.4,82.9,11.6,Heavy Rain,Monsoon
2023-07-01,Delhi,58.21,32.1,34.1,27.2,93.9,6.4,Heavy Rain,Monsoon
2023-07-02,Delhi,7.1,34.1,38.4,30.2,82.5,7.4,Clear,Monsoon
2023-07-03,Delhi,46.58,29.5,33.8,26.0,74.1,16.9,Rainy,Monsoon
2023-07-04,Delhi,9.62,31.9,34.2,28.1,90.3,5.1,High Humidity,Monsoon
2023-07-05,Delhi,71.55,32.6,36.6,27.9,81.0,16.0,Heavy Rain,Monsoon
2023-07-06,Delhi,40.89,29.7,33.6,26.9,91.0,11.6,Rainy,Monsoon
2023-07-07,Delhi,55.64,30.9,33.2,28.6,89.1,8.3,Heavy Rain,Monsoon
2023-07-08,Delhi,41.19,33.6,37.9,28.8,76.0,8.3,Rainy,Monsoon
2023-07-09,Delhi,39.01,32.7,37.3,29.4,74.0,17.6,Rainy,Monsoon
2023-07-10,Delhi,27.47,34.2,38.8,31.7,89.3,18.1,Rainy,Monsoon
2023-07-11,Delhi,94.26,34.3,38.6,31.2,74.1,16.8,Heavy Rain,Monsoon
2023-07-12,Delhi,0.5,34.5,37.7,30.9,79.1,15.7,Clear,Monsoon
2023-07-13,Delhi,73.23,32.9,35.8,28.9,71.4,8.4,Heavy Rain,Monsoon
2023-07-14,Delhi,59.54,34.1,37.4,31.8,89.0,11.2,Heavy Rain,Monsoon
2023-07-15,Delhi,61.02,29.7,32.6,25.5,88.9,19.2,Heavy Rain,Monsoon
2023-07-16,Delhi,93.99,33.4,36.7,29.6,80.3,6.1,Heavy Rain,Monsoon
2023-07-17,Delhi,48.63,32.5,37.3,27.8,70.5,5.9,Rainy,Monsoon
2023-07-18,Delhi,12.81,33.4,36.3,30.2,90.0,13.2,Rainy,Monsoon
2023-07-19,Delhi,54.33,34.5,39.1,30.9,76.7,11.3,Heavy Rain,Monsoon
2023-07-20,Delhi,16.04,32.3,36.2,29.2,77.9,16.0,Rainy,Monsoon
2023-07-21,Delhi,7.28,32.4,36.9,28.8,72.3,15.3,Clear,Monsoon
2023-07-22,Delhi,28.16,32.2,35.9,28.7,73.5,14.6,Rainy,Monsoon
2023-07-23,Delhi,61.69,32.4,37.3,28.5,77.1,5.7,Heavy Rain,Monsoon
2023-07-24,Delhi,36.53,34.4,37.8,31.2,81.0,11.5,Rainy,Monsoon
2023-07-25,Delhi,93.22,30.9,35.1,27.8,83.6,5.0,Heavy Rain,Monsoon
2023-07-26,Delhi,63.77,31.3,36.2,28.5,80.9,18.0,Heavy Rain,Monsoon
2023-07-27,Delhi,81.71,32.5,34.5,29.8,79.7,6.1,Heavy Rain,Monsoon
2023-07-28,Delhi,58.77,29.6,32.9,25.6,81.3,17.3,Heavy Rain,Monsoon
2023-07-29,Delhi,20.29,32.2,35.3,27.8,70.2,14.1,Rainy,Monsoon
2023-07-30,Delhi,74.61,29.9,31.9,26.8,78.4,12.7,Heavy Rain,Monsoon
2023-07-31,Delhi,91.28,33.0,35.7,29.3,73.1,16.6,Heavy Rain,Monsoon
2023-08-01,Delhi,27.72,34.1,39.0,29.4,77.1,14.5,Rainy,Monsoon
2023-08-02,Delhi,31.51,31.2,34.8,27.3,74.8,8.0,Rainy,Monsoon
2023-08-03,Delhi,34.46,29.5,33.9,27.0,93.6,16.9,Rainy,Monsoon
2023-08-04,Delhi,89.49,30.5,34.8,26.8,75.7,10.5,Heavy Rain,Monsoon
2023-08-05,Delhi,13.99,33.1,36.3,30.0,84.9,10.2,Rainy,Monsoon
2023-08-06,Delhi,10.28,33.4,37.1,29.3,71.4,16.6,Rainy,Monsoon
2023-08-07,Delhi,41.77,30.4,33.5,26.6,82.6,10.6,Rainy,Monsoon
2023-08-08,Delhi,94.52,34.6,39.0,31.0,86.5,11.7,Heavy Rain,Monsoon
2023-08-09,Delhi,1.5,29.1,33.0,24.9,75.6,6.9,Clear,Monsoon
2023-08-10,Delhi,85.7,31.4,35.6,28.9,86.0,5.3,Heavy Rain,Monsoon
2023-08-11,Delhi,31.62,31.6,34.1,28.4,87.1,13.5,Rainy,Monsoon
2023-08-12,Delhi,2.53,34.0,36.6,30.8,78.2,15.8,Clear,Monsoon
2023-08-13,Delhi,17.51,30.4,33.5,27.1,72.3,19.7,Rainy,Monsoon
2023-08-14,Delhi,95.11,32.2,34.9,27.5,92.8,7.0,Heavy Rain,Monsoon
2023-08-15,Delhi,51.74,33.5,38.0,28.7,79.5,15.2,Heavy Rain,Monsoon
2023-08-16,Delhi,59.8,33.7,38.4,29.9,85.3,13.7,Heavy Rain,Monsoon
2023-08-17,Delhi,81.43,31.4,33.5,29.2,84.6,11.4,Heavy Rain,Monsoon
2023-08-18,Delhi,56.23,32.6,34.9,28.3,72.9,17.9,Heavy Rain,Monsoon
2023-08-19,Delhi,12.77,33.4,36.4,30.9,73.8,15.4,Rainy,Monsoon
2023-08-20,Delhi,86.91,29.1,33.5,24.3,72.8,17.5,Heavy Rain,Monsoon
2023-08-21,Delhi,32.95,32.4,35.7,28.5,76.7,8.2,Rainy,Monsoon
2023-08-22,Delhi,69.63,31.9,35.8,28.5,88.4,17.3,Heavy Rain,Monsoon
2023-08-23,Delhi,11.43,28.2,31.1,24.2,94.1,19.8,Rainy,Monsoon
2023-08-24,Delhi,35.56,30.6,33.5,28.1,72.3,12.3,Rainy,Monsoon
2023-08-25,Delhi,40.64,30.2,32.3,27.8,77.5,6.8,Rainy,Monsoon
2023-08-26,Delhi,57.1,34.0,38.2,30.8,76.5,14.1,Heavy Rain,Monsoon
2023-08-27,Delhi,87.38,30.7,35.5,26.6,84.8,17.6,Heavy Rain,Monsoon
2023-08-28,Delhi,69.04,34.5,39.0,31.6,75.6,15.4,Heavy Rain,Monsoon
2023-08-29,Delhi,43.84,32.9,37.1,29.5,74.7,14.2,Rainy,Monsoon
2023-08-30,Delhi,42.81,29.7,33.7,25.8,89.6,5.6,Rainy,Monsoon
2023-08-31,Delhi,15.46,34.6,38.3,29.8,90.9,17.8,Rainy,Monsoon
2023-09-01,Delhi,88.89,28.2,32.2,24.5,89.8,17.0,Heavy Rain,Monsoon
2023-09-02,Delhi,45.61,28.5,32.6,25.8,89.2,18.1,Rainy,Monsoon
2023-09-03,Delhi,20.44,29.4,34.2,25.3,87.2,17.4,Rainy,Monsoon
2023-09-04,Delhi,22.32,31.1,33.3,29.1,74.5,9.1,Rainy,Monsoon
2023-09-05,Delhi,86.92,32.8,35.8,30.1,83.4,9.2,Heavy Rain,Monsoon
2023-09-06,Delhi,46.62,32.0,35.3,27.1,91.8,8.3,Rainy,Monsoon
2023-09-07,Delhi,43.48,30.9,33.6,26.2,84.4,15.9,Rainy,Monsoon
2023-09-08,Delhi,71.56,30.1,32.9,26.7,91.4,6.5,Heavy Rain,Monsoon
2023-09-09,Delhi,55.68,32.1,35.2,29.0,90.0,10.2,Heavy Rain,Monsoon
2023-09-10,Delhi,99.73,31.2,33.4,28.4,83.9,9.1,Heavy Rain,Monsoon
2023-09-11,Delhi,93.5,29.6,34.0,26.5,78.8,16.7,Heavy Rain,Monsoon
2023-09-12,Delhi,61.44,29.1,31.9,26.2,90.9,5.9,Heavy Rain,Monsoon
2023-09-13,Delhi,5.26,31.0,33.4,26.3,94.6,11.0,High Humidity,Monsoon
2023-09-14,Delhi,85.47,28.6,32.0,25.5,78.6,16.1,Heavy Rain,Monsoon
2023-09-15,Delhi,4.26,32.9,36.5,29.7,86.5,15.3,High Humidity,Monsoon
2023-09-16,Delhi,93.89,30.1,33.6,25.9,73.0,17.7,Heavy Rain,Monsoon
2023-09-17,Delhi,36.4,34.9,37.9,30.8,79.1,5.0,Rainy,Monsoon
2023-09-18,Delhi,67.95,33.6,36.8,30.0,84.8,15.8,Heavy Rain,Monsoon
2023-09-19,Delhi,54.39,34.5,37.5,30.4,92.4,19.0,Heavy Rain,Monsoon
2023-09-20,Delhi,4.28,29.4,33.2,26.8,90.6,9.9,High Humidity,Monsoon
2023-09-21,Delhi,6.64,28.1,31.6,25.9,87.8,14.8,High Humidity,Monsoon
2023-09-22,Delhi,9.07,28.1,30.4,24.6,93.8,15.1,High Humidity,Monsoon
2023-09-23,Delhi,64.24,34.3,37.7,29.4,83.7,17.0,Heavy Rain,Monsoon
2023-09-24,Delhi,99.32,28.8,33.0,24.6,74.2,15.1,Heavy Rain,Monsoon
2023-09-25,Delhi,76.51,32.0,34.7,28.5,74.0,18.7,Heavy Rain,Monsoon
2023-09-26,Delhi,49.92,30.1,34.6,25.1,78.6,13.3,Rainy,Monsoon
2023-09-27,Delhi,20.76,33.1,37.6,30.7,85.5,19.3,Rainy,Monsoon
2023-09-28,Delhi,42.18,32.6,36.3,27.8,78.4,6.3,Rainy,Monsoon
2023-09-29,Delhi,10.58,31.8,35.1,27.2,86.0,19.6,Rainy,Monsoon
2023-09-30,Delhi,11.46,29.6,34.5,25.7,94.9,6.1,Rainy,Monsoon
2023-10-01,Delhi,2.0,29.4,32.7,25.2,61.5,6.2,Clear,Post-Monsoon
2023-10-02,Delhi,0.0,28.3,32.5,24.0,66.9,9.0,Clear,Post-Monsoon
2023-10-03,Delhi,0.0,22.1,26.6,18.7,67.2,19.2,Clear,Post-Monsoon
2023-10-04,Delhi,0.0,24.3,27.6,20.3,67.5,15.6,Clear,Post-Monsoon
2023-10-05,Delhi,0.0,27.2,30.2,22.3,62.1,7.1,Clear,Post-Monsoon
2023-10-06,Delhi,0.0,24.3,27.6,19.4,67.7,13.3,Clear,Post-Monsoon
2023-10-07,Delhi,0.0,27.3,31.1,24.7,71.7,5.9,Clear,Post-Monsoon
2023-10-08,Delhi,0.0,21.3,25.7,18.8,72.9,9.4,Clear,Post-Monsoon
2023-10-09,Delhi,0.5,26.3,28.5,21.7,69.0,14.3,Clear,Post-Monsoon
2023-10-10,Delhi,0.0,29.6,33.4,26.7,62.6,13.8,Clear,Post-Monsoon
2023-10-11,Delhi,0.0,29.6,34.0,26.6,60.5,7.7,Clear,Post-Monsoon
2023-10-12,Delhi,2.0,21.8,24.4,17.8,69.8,8.1,Clear,Post-Monsoon
2023-10-13,Delhi,0.0,26.1,30.7,23.2,68.8,8.3,Clear,Post-Monsoon
2023-10-14,Delhi,0.0,24.4,28.5,20.0,70.6,7.0,Clear,Post-Monsoon
2023-10-15,Delhi,0.0,20.7,25.5,17.3,60.9,17.7,Clear,Post-Monsoon
2023-10-16,Delhi,0.0,23.7,26.3,19.7,62.2,18.1,Clear,Post-Monsoon
2023-10-17,Delhi,0.0,24.4,28.8,21.9,64.7,8.4,Clear,Post-Monsoon
2023-10-18,Delhi,0.0,22.2,25.4,18.0,72.1,5.1,Clear,Post-Monsoon
2023-10-19,Delhi,0.0,21.4,24.9,17.7,68.8,13.1,Clear,Post-Monsoon
2023-10-20,Delhi,0.0,26.4,29.4,22.9,68.9,11.0,Clear,Post-Monsoon
2023-10-21,Delhi,0.0,26.9,30.7,22.5,67.8,7.2,Clear,Post-Monsoon
2023-10-22,Delhi,0.0,29.3,31.6,26.5,68.9,12.3,Clear,Post-Monsoon
2023-10-23,Delhi,0.0,22.2,26.4,18.1,66.3,13.6,Clear,Post-Monsoon
2023-10-24,Delhi,0.0,22.7,26.1,20.6,68.6,6.2,Clear,Post-Monsoon
