date,records,avg_delay,avg_temp,avg_humidity,total_trips
2023-03-25,25,0.7,30.59,48.95,490
2023-03-26,25,0.72,28.82,50.24,483
2023-03-27,25,0.68,29.25,64.43,453
2023-03-28,25,0.73,27.06,63.69,515
2023-03-29,25,0.7,29.15,51.44,403
2023-03-30,25,0.73,28.58,62.14,473
2023-03-31,25,0.72,25.64,46.44,464
2023-04-01,25,0.73,29.12,59.7,474
2023-04-02,25,0.72,30.77,55.55,505
2023-04-03,25,0.7,26.32,54.1,474
2023-04-04,25,0.7,26.56,56.05,498
2023-04-05,25,0.69,26.08,53.45,497
2023-04-06,25,0.69,27.99,65.47,492
2023-04-07,25,0.7,28.56,60.09,471
2023-04-08,25,0.7,29.2,57.02,495
2023-04-09,25,0.69,28.16,62.78,537
2023-04-10,25,0.69,29.81,63.5,511
2023-04-11,25,0.68,28.04,61.96,526
2023-04-12,25,0.72,27.97,58.0,463
2023-04-13,25,0.67,24.45,63.05,456
2023-04-14,25,0.68,29.73,63.79,536
2023-04-15,25,0.7,26.33,65.29,506
2023-04-16,25,0.73,27.24,59.07,508
2023-04-17,25,0.71,26.89,63.57,439
2023-04-18,25,0.68,26.45,55.08,510
2023-04-19,25,0.7,26.21,59.73,488
2023-04-20,25,0.69,27.81,59.49,508
2023-04-21,25,0.69,27.03,64.87,535
2023-04-22,25,0.72,26.75,49.8,514
2023-04-23,25,0.72,26.21,51.4,420
2023-04-24,25,0.68,26.08,50.8,502
2023-04-25,25,0.67,28.38,58.94,539
2023-04-26,25,0.71,29.52,47.05,484
2023-04-27,25,0.73,28.44,54.41,456
2023-04-28,25,0.71,25.58,54.87,487
2023-04-29,25,0.69,30.74,61.37,483
2023-04-30,25,0.73,29.37,60.81,484
2023-05-01,25,0.68,28.69,58.53,476
2023-05-02,25,0.71,27.37,60.78,465
2023-05-03,25,0.7,26.2,57.02,481
2023-05-04,25,0.7,29.33,57.14,494
2023-05-05,25,0.71,27.02,70.91,515
2023-05-06,25,0.71,26.42,60.15,512
2023-05-07,25,0.72,28.46,69.03,504
2023-05-08,25,0.7,25.94,63.17,507
2023-05-09,25,0.76,29.57,58.07,440
2023-05-10,25,0.72,26.81,54.28,464
2023-05-11,25,0.69,29.37,55.39,506
2023-05-12,25,0.69,26.91,54.0,489
2023-05-13,25,0.7,27.23,63.7,470
2023-05-14,25,0.69,28.98,55.49,476
2023-05-15,25,0.68,27.15,49.05,519
2023-05-16,25,0.68,28.28,54.95,477
2023-05-17,25,0.69,25.32,63.1,569
2023-05-18,25,0.7,28.99,57.72,458
2023-05-19,25,0.72,28.14,55.31,494
2023-05-20,25,0.72,27.4,56.71,519
2023-05-21,25,0.68,27.37,62.11,470
2023-05-22,25,0.69,28.31,55.99,598
2023-05-23,25,0.71,26.99,56.82,487
2023-05-24,25,0.71,27.53,59.47,518
2023-05-25,25,0.71,26.98,58.01,529
2023-05-26,25,0.7,28.18,56.98,527
2023-05-27,25,0.68,23.74,56.29,489
2023-05-28,25,0.7,29.63,61.51,533
2023-05-29,25,0.71,28.96,52.03,508
2023-05-30,25,0.69,25.16,54.07,494
2023-05-31,25,0.69,25.92,57.55,521
2023-06-01,25,2.1,26.49,78.78,441
2023-06-02,25,2.12,28.89,78.37,492
2023-06-03,25,2.06,26.69,82.91,478
2023-06-04,25,2.19,27.94,85.21,529
2023-06-05,25,2.18,24.31,85.66,513
2023-06-06,25,2.01,28.04,76.5,454
2023-06-07,25,1.97,28.87,80.28,524
2023-06-08,25,2.09,26.23,86.72,497
2023-06-09,25,2.1,25.74,79.32,515
2023-06-10,25,2.17,25.49,85.99,494
2023-06-11,25,2.11,26.88,80.6,432
2023-06-12,25,2.21,28.42,83.24,498
2023-06-13,25,2.05,27.11,85.43,468
2023-06-14,25,2.07,28.62,79.99,503
2023-06-15,25,2.13,30.03,81.29,483
2023-06-16,25,2.02,24.96,82.62,422
2023-06-17,25,2.05,25.52,89.15,523
2023-06-18,25,2.07,30.96,80.3,462
2023-06-19,25,2.03,24.8,78.8,478
2023-06-20,25,2.16,27.77,82.1,526
2023-06-21,25,2.09,26.27,80.83,531
2023-06-22,25,2.06,24.49,90.04,500
2023-06-23,25,2.02,27.82,80.77,442
2023-06-24,25,2.06,29.26,81.17,519
2023-06-25,25,2.09,26.48,82.83,533
2023-06-26,25,2.12,28.32,85.43,509
2023-06-27,25,2.15,28.08,85.45,512
2023-06-28,25,2.05,27.24,90.3,520
2023-06-29,25,2.04,27.0,83.58,496
2023-06-30,25,2.15,23.94,84.02,463
2023-07-01,25,2.13,26.32,87.26,415
2023-07-02,25,2.11,29.95,82.91,517
2023-07-03,25,2.09,27.28,84.0,502
2023-07-04,25,2.02,27.67,80.16,486
2023-07-05,25,2.1,26.27,85.14,456
2023-07-06,25,2.13,26.81,89.97,449
2023-07-07,25,2.05,26.39,86.51,490
2023-07-08,25,2.14,26.02,84.88,468
2023-07-09,25,2.11,31.26,83.19,546
2023-07-10,25,2.12,27.62,80.35,549
2023-07-11,25,2.12,28.36,79.68,484
2023-07-12,25,2.1,29.65,81.92,480
2023-07-13,25,2.05,28.31,80.28,517
2023-07-14,25,2.07,26.95,80.56,499
2023-07-15,25,2.14,26.63,84.62,452
2023-07-16,25,2.08,25.96,78.15,464
2023-07-17,25,2.11,26.26,83.37,455
2023-07-18,25,2.19,27.99,85.75,506
2023-07-19,25,2.12,25.45,90.37,534
2023-07-20,25,2.07,27.38,85.98,465
2023-07-21,25,2.11,28.14,84.69,502
2023-07-22,25,2.04,26.04,81.94,513
2023-07-23,25,1.97,27.28,73.94,500
2023-07-24,25,2.09,26.57,80.88,514
2023-07-25,25,2.14,28.72,82.76,499
2023-07-26,25,2.07,29.08,89.62,485
2023-07-27,25,2.11,27.66,81.19,534
2023-07-28,25,2.15,29.06,82.43,488
2023-07-29,25,2.09,28.12,81.47,437
2023-07-30,25,2.16,29.41,78.71,460
2023-07-31,25,2.06,27.45,86.24,518
2023-08-01,25,2.04,29.64,82.61,475
2023-08-02,25,2.13,27.03,79.66,461
2023-08-03,25,2.09,26.8,81.94,485
2023-08-04,25,2.11,29.48,82.28,512
2023-08-05,25,2.01,25.28,82.06,479
2023-08-06,25,2.16,27.45,87.72,467
2023-08-07,25,2.03,28.05,85.96,481
2023-08-08,25,2.12,27.7,82.46,437
2023-08-09,25,2.05,28.29,84.24,480
2023-08-10,25,1.98,27.71,81.15,489
2023-08-11,25,2.13,26.95,83.33,454
2023-08-12,25,2.12,28.67,76.69,500
2023-08-13,25,2.14,28.36,82.53,493
2023-08-14,25,2.25,28.08,80.19,431
2023-08-15,25,2.21,28.92,82.74,471
2023-08-16,25,2.04,26.85,79.48,497
2023-08-17,25,2.08,27.82,88.1,440
2023-08-18,25,2.15,28.55,85.19,465
2023-08-19,25,2.17,26.23,84.13,480
2023-08-20,25,2.12,25.34,78.8,463
2023-08-21,25,2.21,29.48,90.79,529
2023-08-22,25,2.08,26.98,81.91,486
2023-08-23,25,2.11,26.51,84.58,509
2023-08-24,25,2.12,26.79,82.59,490
2023-08-25,25,2.27,26.05,82.55,481
2023-08-26,25,2.08,26.4,78.79,469
2023-08-27,25,2.12,26.09,82.88,436
2023-08-28,25,2.02,29.0,82.17,480
2023-08-29,25,2.15,28.75,83.7,505
2023-08-30,25,2.16,26.91,84.76,494
2023-08-31,25,2.09,27.58,85.0,503
2023-09-01,25,2.19,25.77,85.56,503
2023-09-02,25,2.14,28.64,82.56,518
2023-09-03,25,1.99,26.29,78.87,511
2023-09-04,25,2.09,26.96,81.04,479
2023-09-05,25,2.03,28.54,82.54,482
2023-09-06,25,2.15,31.5,83.35,439
2023-09-07,25,2.03,28.88,83.83,526
2023-09-08,25,2.13,30.33,79.59,436
2023-09-09,25,2.09,27.37,84.79,561
2023-09-10,25,2.19,28.77,81.36,506
2023-09-11,25,2.16,26.95,76.91,486
2023-09-12,25,2.07,28.97,80.98,512
2023-09-13,25,2.05,29.74,80.03,441
2023-09-14,25,2.03,25.85,85.88,496
2023-09-15,25,2.12,28.63,82.01,507
2023-09-16,25,2.06,27.34,80.68,517
2023-09-17,25,2.11,26.88,84.04,458
2023-09-18,25,2.12,28.0,80.48,454
2023-09-19,25,1.98,26.71,77.72,534
2023-09-20,25,2.03,27.51,90.25,491
2023-09-21,25,2.11,26.41,82.49,499
2023-09-22,25,2.16,26.42,82.93,468
2023-09-23,25,2.08,28.3,81.96,486
2023-09-24,25,2.17,25.97,86.14,480
2023-09-25,25,2.13,28.3,75.84,498
2023-09-26,25,1.99,27.97,76.26,562
2023-09-27,25,2.24,28.57,81.34,480
2023-09-28,25,2.09,28.23,84.09,498
2023-09-29,25,2.06,26.29,82.43,557
2023-09-30,25,2.09,25.67,80.58,466
2023-10-01,25,0.7,29.1,52.97,503
2023-10-02,25,0.7,27.16,56.87,501
2023-10-03,25,0.72,26.66,59.6,507
2023-10-04,25,0.7,26.0,53.88,495
2023-10-05,25,0.72,27.44,64.55,540
2023-10-06,25,0.72,27.8,55.07,481
2023-10-07,25,0.68,29.47,52.69,462
2023-10-08,25,0.71,27.63,54.77,467
2023-10-09,25,0.72,27.62,60.32,453
2023-10-10,25,0.69,25.93,61.8,529
2023-10-11,25,0.7,29.81,59.67,462
2023-10-12,25,0.7,27.55,58.2,456
2023-10-13,25,0.68,26.17,57.69,434
2023-10-14,25,0.69,28.28,65.69,401
2023-10-15,25,0.71,27.63,55.76,473
2023-10-16,25,0.7,26.79,52.02,435
2023-10-17,25,0.73,26.4,59.97,490
2023-10-18,25,0.7,27.56,56.22,449
2023-10-19,25,0.72,29.32,50.97,488
2023-10-20,25,0.7,29.53,55.56,464
2023-10-21,25,0.7,25.47,55.88,454
2023-10-22,25,0.7,29.68,52.11,468
2023-10-23,25,0.72,28.45,61.75,472
2023-10-24,25,0.7,27.55,61.95,532
2023-10-25,25,0.7,29.38,63.59,460
2023-10-26,25,0.69,26.46,59.92,533
2023-10-27,25,0.72,27.65,66.41,476
2023-10-28,25,0.71,28.71,55.9,493
2023-10-29,25,0.69,27.72,57.81,457
2023-10-30,25,0.67,30.32,55.46,524
2023-10-31,25,0.68,27.56,51.95,515
2023-11-01,25,0.72,29.09,55.74,443
2023-11-02,25,0.68,27.46,57.75,478
2023-11-03,25,0.68,28.68,53.79,519
2023-11-04,25,0.72,26.34,62.37,491
2023-11-05,25,0.69,28.46,55.02,473
2023-11-06,25,0.7,28.96,54.22,466
2023-11-07,25,0.73,26.68,62.56,441
2023-11-08,25,0.69,27.27,62.06,539
2023-11-09,25,0.74,26.38,62.25,515
2023-11-10,25,0.73,27.31,59.65,466
2023-11-11,25,0.65,27.68,62.81,485
2023-11-12,25,0.7,28.86,49.01,517
2023-11-13,25,0.73,28.01,62.34,506
2023-11-14,25,0.72,26.18,51.0,476
2023-11-15,25,0.72,29.39,54.91,460
2023-11-16,25,0.68,26.53,59.98,476
2023-11-17,25,0.71,29.44,63.38,450
2023-11-18,25,0.72,27.69,49.77,427
2023-11-19,25,0.71,26.41,58.66,471
2023-11-20,25,0.7,30.21,61.58,506
2023-11-21,25,0.68,27.64,54.51,498
2023-11-22,25,0.67,28.21,52.28,489
2023-11-23,25,0.72,27.45,54.69,466
2023-11-24,25,0.68,27.87,59.29,460
2023-11-25,25,0.7,27.69,55.13,533
2023-11-26,25,0.69,27.46,54.51,493
2023-11-27,25,0.69,29.28,63.5,495
2023-11-28,25,0.71,25.88,56.03,535
2023-11-29,25,0.71,26.55,56.23,442
2023-11-30,25,0.68,26.47,55.95,499
2023-12-01,25,0.69,28.17,50.15,462
2023-12-02,25,0.66,28.17,51.35,463
2023-12-03,25,0.69,25.38,59.39,511
2023-12-04,25,0.71,25.55,62.08,461
2023-12-05,25,0.69,27.71,52.07,431
2023-12-06,25,0.7,31.23,54.92,545
2023-12-07,25,0.68,26.04,52.54,478
2023-12-08,25,0.73,28.61,64.65,515
2023-12-09,25,0.73,26.66,64.74,461
2023-12-10,25,0.7,27.23,50.12,503
2023-12-11,25,0.72,26.75,57.03,508
2023-12-12,25,0.68,28.8,57.08,471
2023-12-13,25,0.68,29.59,50.91,497
2023-12-14,25,0.68,25.75,55.5,437
2023-12-15,25,0.73,26.15,60.58,498
2023-12-16,25,0.66,27.47,66.45,459
2023-12-17,25,0.68,26.76,57.43,533
2023-12-18,25,0.68,26.56,63.94,481
2023-12-19,25,0.67,27.96,55.66,496
2023-12-20,25,0.7,27.34,60.9,505
2023-12-21,25,0.68,27.22,55.49,500
2023-12-22,25,0.69,27.53,60.64,511
2023-12-23,25,0.73,26.65,57.16,503
2023-12-24,25,0.68,27.24,58.5,502
2023-12-25,25,0.68,28.64,52.94,430
2023-12-26,25,0.69,25.26,66.84,463
2023-12-27,25,0.73,26.48,55.31,524
2023-12-28,25,0.73,25.11,65.58,518
2023-12-29,25,0.71,25.44,46.43,493
2023-12-30,25,0.71,26.95,61.77,560
2023-12-31,25,0.73,27.16,57.12,479
