date,records,avg_delay,avg_temp,avg_precipitation,avg_snowfall,total_trips
2023-03-12,498,1.38,46.28,0.27,2.56,62267
2023-03-13,498,1.01,59.7,0.05,0.0,61374
2023-03-14,498,0.89,54.77,0.08,0.0,62496
2023-03-15,498,1.26,58.81,0.35,0.0,60682
2023-03-16,498,1.44,40.68,0.94,1.75,62219
2023-03-17,498,1.09,54.86,0.0,0.0,63967
2023-03-18,498,1.13,44.25,0.24,0.0,62290
2023-03-19,498,1.52,59.19,0.78,0.0,63601
2023-03-20,498,1.08,51.68,0.0,0.0,61269
2023-03-21,498,1.43,48.79,0.68,0.0,61706
2023-03-22,498,2.06,28.28,0.4,3.01,62005
2023-03-23,498,1.33,45.42,0.39,1.98,61868
2023-03-24,498,0.85,61.73,0.0,0.0,60365
2023-03-25,498,1.37,56.72,0.6,0.0,62211
2023-03-26,498,1.28,49.05,0.34,0.36,62278
2023-03-27,498,1.15,67.71,0.18,0.18,62476
2023-03-28,498,1.16,57.93,0.31,0.0,63369
2023-03-29,498,1.3,57.5,1.0,0.0,63986
2023-03-30,498,1.5,48.92,0.66,1.18,61810
2023-03-31,498,0.92,53.68,0.0,0.0,61134
2023-04-01,498,1.03,55.53,0.18,0.0,61901
2023-04-02,498,1.85,32.92,1.55,1.85,63284
2023-04-03,498,1.0,68.9,0.25,0.0,61501
2023-04-04,498,1.52,53.96,1.13,0.0,62223
2023-04-05,498,1.02,58.7,0.18,0.0,62241
2023-04-06,498,1.38,60.15,0.71,0.0,61641
2023-04-07,498,0.99,68.2,0.0,0.0,60887
2023-04-08,498,1.31,49.44,0.92,0.0,62665
2023-04-09,498,1.52,45.27,0.58,0.23,61994
2023-04-10,498,1.08,57.11,0.0,0.0,63329
2023-04-11,498,0.86,57.45,0.0,0.0,61905
2023-04-12,498,1.21,63.88,0.43,0.0,63060
2023-04-13,498,1.61,45.56,1.37,1.23,61542
2023-04-14,498,1.03,60.27,0.08,0.51,61383
2023-04-15,498,1.2,57.13,0.1,0.0,60697
2023-04-16,498,0.98,56.6,0.0,0.0,61129
2023-04-17,498,1.06,54.21,0.37,0.0,63752
2023-04-18,498,1.14,60.93,0.07,0.0,61552
2023-04-19,498,1.06,53.95,0.42,0.26,60750
2023-04-20,498,0.92,56.86,0.02,0.0,61542
2023-04-21,498,1.98,35.17,0.73,1.45,61796
2023-04-22,498,1.52,49.87,0.85,0.0,63634
2023-04-23,498,1.05,67.18,0.14,0.0,62793
2023-04-24,498,1.08,49.14,0.24,0.0,62407
2023-04-25,498,1.11,63.76,0.5,0.0,61818
2023-04-26,498,1.68,51.72,1.0,1.72,62375
2023-04-27,498,1.87,32.16,1.21,6.77,63120
2023-04-28,498,1.29,45.57,1.07,0.0,63081
2023-04-29,498,1.56,39.69,1.34,0.73,61030
2023-04-30,498,1.34,47.77,0.26,0.54,64457
2023-05-01,498,1.1,45.92,0.05,0.15,62768
2023-05-02,498,1.33,59.05,0.87,0.25,59839
2023-05-03,498,1.53,55.96,1.24,0.33,62268
2023-05-04,498,1.28,60.34,0.34,0.0,62264
2023-05-05,498,2.08,37.84,0.99,3.58,61984
2023-05-06,498,1.32,57.83,1.23,0.0,62029
2023-05-07,498,1.44,51.31,1.11,0.0,61242
2023-05-08,498,1.26,53.57,0.99,0.0,62457
2023-05-09,498,1.35,52.61,0.98,0.0,62346
2023-05-10,498,1.32,48.67,0.91,0.0,58697
2023-05-11,498,1.24,59.73,0.6,0.0,62120
2023-05-12,498,1.41,51.49,0.95,0.0,61664
2023-05-13,498,1.05,55.25,0.16,0.0,64668
2023-05-14,498,1.1,60.17,0.23,0.37,61461
2023-05-15,498,1.71,33.0,1.53,3.36,60841
2023-05-16,498,1.34,41.73,0.65,0.0,63206
2023-05-17,498,1.1,59.92,0.0,0.0,63465
2023-05-18,498,1.25,50.17,0.88,0.0,62981
2023-05-19,498,1.18,44.77,0.2,0.53,63748
2023-05-20,498,1.19,55.05,0.34,0.0,63633
2023-05-21,498,1.36,59.08,0.41,0.0,62159
2023-05-22,498,1.35,49.78,0.67,0.3,64207
2023-05-23,498,1.39,47.82,0.41,0.0,61203
2023-05-24,498,1.3,46.29,0.82,0.0,61888
2023-05-25,498,1.09,64.25,0.05,0.0,61505
2023-05-26,498,0.96,65.05,0.07,0.55,60329
2023-05-27,498,1.23,56.87,1.1,0.0,61455
2023-05-28,498,1.41,53.98,1.07,0.0,64624
2023-05-29,498,1.23,51.66,0.25,0.0,61922
2023-05-30,498,0.99,50.13,0.05,0.0,61764
2023-05-31,498,1.02,65.3,0.0,0.0,60882
2023-06-01,498,1.04,61.91,0.08,0.0,62720
2023-06-02,498,1.04,71.7,0.0,0.0,62926
2023-06-03,498,1.54,51.53,1.0,0.0,61311
2023-06-04,498,0.96,57.5,0.06,0.0,61056
2023-06-05,498,1.31,43.88,0.93,0.0,63759
2023-06-06,498,1.09,61.67,0.0,0.0,62492
2023-06-07,498,1.55,59.45,0.61,0.0,61468
2023-06-08,498,0.99,59.07,0.04,0.0,63316
2023-06-09,498,1.06,56.33,0.07,0.0,62528
2023-06-10,498,1.04,66.66,0.22,0.0,61996
2023-06-11,498,0.93,66.16,0.0,0.0,60785
2023-06-12,498,1.08,57.71,0.06,0.0,62335
2023-06-13,498,1.01,51.1,0.17,0.0,61068
2023-06-14,498,0.96,63.5,0.0,0.0,60997
2023-06-15,498,1.45,51.41,0.54,0.0,63033
2023-06-16,498,1.09,59.43,0.0,0.0,62267
2023-06-17,498,1.18,49.24,0.17,0.0,61232
2023-06-18,498,1.14,54.82,0.11,0.0,61454
2023-06-19,498,1.2,68.31,0.22,0.0,62318
2023-06-20,498,1.06,51.43,0.03,0.0,62448
2023-06-21,498,1.22,56.02,0.58,0.0,61333
2023-06-22,498,0.92,66.6,0.08,0.0,60859
2023-06-23,498,1.39,50.41,0.25,0.0,62040
2023-06-24,498,1.23,58.16,0.69,0.0,62060
2023-06-25,498,1.03,47.91,0.16,0.0,62053
2023-06-26,498,1.29,59.87,0.26,0.0,62950
2023-06-27,498,1.12,60.95,0.0,0.0,62059
2023-06-28,498,1.0,58.16,0.0,0.0,62208
2023-06-29,498,1.29,58.5,0.29,0.0,60896
2023-06-30,498,1.28,48.2,0.81,0.0,63923
2023-07-01,498,1.14,52.75,0.16,0.0,60657
2023-07-02,498,0.96,57.61,0.0,0.0,62899
2023-07-03,498,1.07,53.66,0.0,0.0,62437
2023-07-04,498,1.22,55.66,0.23,0.0,63960
2023-07-05,498,1.03,63.45,0.0,0.0,60592
2023-07-06,498,1.42,46.72,0.81,0.0,60553
2023-07-07,498,1.1,53.4,0.0,0.0,62265
2023-07-08,498,1.02,51.95,0.0,0.0,63586
2023-07-09,498,1.07,55.0,0.26,0.0,60797
2023-07-10,498,1.24,59.96,0.16,0.0,62132
2023-07-11,498,1.13,44.81,0.0,0.0,61451
2023-07-12,498,1.25,57.29,0.26,0.0,62132
2023-07-13,498,1.02,57.97,0.06,0.0,61498
2023-07-14,498,1.41,59.62,0.95,0.0,62620
2023-07-15,498,0.96,57.53,0.08,0.0,62072
2023-07-16,498,1.19,56.24,0.37,0.0,61578
2023-07-17,498,1.06,61.24,0.15,0.0,61322
2023-07-18,498,1.08,69.57,0.0,0.0,62594
2023-07-19,498,0.92,48.2,0.08,0.0,62529
2023-07-20,498,1.03,50.52,0.0,0.0,62835
2023-07-21,498,1.36,41.21,1.1,0.0,61550
2023-07-22,498,1.14,38.52,0.35,0.0,61209
2023-07-23,498,0.94,49.92,0.05,0.0,60964
2023-07-24,498,1.14,58.02,0.0,0.0,62519
2023-07-25,498,1.2,48.69,0.11,0.0,62511
2023-07-26,498,1.4,48.61,0.43,0.0,60397
2023-07-27,498,1.21,46.63,0.79,0.0,64006
2023-07-28,498,1.04,56.9,0.08,0.0,62201
2023-07-29,498,1.19,52.82,0.36,0.0,62649
2023-07-30,498,0.91,61.19,0.0,0.0,62525
2023-07-31,498,1.19,53.73,0.71,0.0,61587
2023-08-01,498,0.98,62.85,0.0,0.0,61058
2023-08-02,498,0.83,50.81,0.0,0.0,60836
2023-08-03,498,1.22,65.23,0.16,0.0,63101
2023-08-04,498,1.32,50.04,0.61,0.0,62015
2023-08-05,498,1.16,42.56,0.13,0.0,62235
2023-08-06,498,1.12,54.76,0.37,0.0,61602
2023-08-07,498,1.07,47.72,0.19,0.0,62209
2023-08-08,498,1.17,61.16,0.0,0.0,61499
2023-08-09,498,1.15,59.56,0.82,0.0,61016
2023-08-10,498,1.1,61.03,0.04,0.0,62712
2023-08-11,498,1.06,61.11,0.0,0.0,61850
2023-08-12,498,1.16,58.53,0.88,0.0,61971
2023-08-13,498,1.19,54.95,0.33,0.0,60197
2023-08-14,498,1.2,60.44,0.08,0.0,62788
2023-08-15,498,0.9,66.58,0.0,0.0,61011
2023-08-16,498,0.91,60.71,0.0,0.0,62478
2023-08-17,498,1.12,51.95,0.0,0.0,60036
2023-08-18,498,1.03,57.44,0.05,0.0,60621
2023-08-19,498,1.41,47.72,0.62,0.0,61349
2023-08-20,498,1.2,52.74,1.01,0.0,60869
2023-08-21,498,0.91,47.32,0.0,0.0,62310
2023-08-22,498,1.28,57.5,0.66,0.0,62211
2023-08-23,498,1.0,53.6,0.0,0.0,61395
2023-08-24,498,0.93,66.85,0.0,0.0,60810
2023-08-25,498,0.98,44.64,0.0,0.0,61667
2023-08-26,498,1.14,68.14,0.02,0.0,61439
2023-08-27,498,1.02,54.99,0.05,0.0,61151
2023-08-28,498,1.17,51.46,0.62,0.0,62448
2023-08-29,498,1.3,47.67,0.82,0.0,63275
2023-08-30,498,1.34,55.94,1.15,0.0,62614
2023-08-31,498,0.99,51.43,0.0,0.0,64575
2023-09-01,498,1.88,37.5,0.96,4.19,61865
2023-09-02,498,1.12,51.25,0.0,0.0,61863
2023-09-03,498,1.04,59.11,0.06,0.0,61330
2023-09-04,498,1.06,46.77,0.12,0.0,62530
2023-09-05,498,1.08,49.58,0.0,0.0,60487
2023-09-06,498,1.41,45.44,0.99,0.0,60317
2023-09-07,498,1.24,48.25,0.86,0.0,62180
2023-09-08,498,1.19,57.6,0.24,0.0,60849
2023-09-09,498,1.07,48.51,0.0,0.0,62497
2023-09-10,498,1.2,51.33,0.35,0.0,61652
2023-09-11,498,1.15,56.69,0.32,0.0,62828
2023-09-12,498,1.46,50.85,0.63,0.0,61364
2023-09-13,498,1.49,46.49,1.12,0.26,62399
2023-09-14,498,1.09,48.61,0.44,0.0,60817
2023-09-15,498,0.99,50.24,0.34,0.0,62626
2023-09-16,498,1.38,49.36,0.96,0.0,62873
2023-09-17,498,0.97,63.96,0.0,0.0,61585
2023-09-18,498,1.25,66.08,0.27,0.0,62145
2023-09-19,498,1.17,61.61,0.6,1.2,61285
2023-09-20,498,1.47,46.79,0.77,0.43,62069
2023-09-21,498,0.92,53.41,0.0,0.0,60960
2023-09-22,498,1.05,52.77,0.04,0.0,62297
2023-09-23,498,1.21,43.77,0.43,0.54,59586
2023-09-24,498,1.28,60.63,1.34,0.0,63177
2023-09-25,498,1.8,32.85,0.56,1.89,60290
2023-09-26,498,1.08,47.8,0.05,0.0,62616
2023-09-27,498,1.39,49.26,0.91,0.0,62950
2023-09-28,498,1.11,46.22,0.0,0.0,63074
2023-09-29,498,1.15,54.49,0.14,0.0,60824
2023-09-30,498,1.83,37.52,1.4,5.46,61030
2023-10-01,498,1.11,60.31,0.04,0.13,61679
2023-10-02,498,1.07,64.83,0.33,0.0,62050
2023-10-03,498,1.03,63.09,0.0,0.0,63019
2023-10-04,498,1.12,66.99,0.03,0.0,62593
2023-10-05,498,1.96,29.89,1.43,5.87,61655
2023-10-06,498,1.71,38.94,0.71,2.42,60326
2023-10-07,498,1.24,51.21,0.67,0.18,60774
2023-10-08,498,1.44,58.96,0.32,2.23,61903
2023-10-09,498,1.15,71.03,0.0,0.0,63266
2023-10-10,498,0.99,49.78,0.0,0.0,62534
2023-10-11,498,1.3,52.81,0.77,0.0,62807
2023-10-12,498,1.07,47.72,0.0,0.0,62561
2023-10-13,498,1.36,60.08,0.78,0.0,60546
2023-10-14,498,1.24,48.75,0.78,0.48,64345
2023-10-15,498,1.07,66.26,0.12,0.0,60003
2023-10-16,498,1.04,67.22,0.0,0.0,60977
2023-10-17,498,0.87,56.21,0.0,0.0,62462
2023-10-18,498,1.31,58.2,0.28,0.0,62345
2023-10-19,498,1.11,47.33,0.07,0.0,64066
2023-10-20,498,1.09,49.65,0.07,0.0,62522
2023-10-21,498,0.87,62.14,0.0,0.0,61257
2023-10-22,498,1.1,49.49,0.0,0.0,60743
2023-10-23,498,1.26,56.93,0.43,0.0,60164
2023-10-24,498,1.32,55.91,0.48,0.0,62283
2023-10-25,498,1.81,34.33,0.88,1.68,59327
2023-10-26,498,1.41,45.38,0.71,0.0,61364
2023-10-27,498,1.87,43.14,0.46,1.45,60601
2023-10-28,498,1.01,58.56,0.0,0.0,61751
2023-10-29,498,1.59,39.46,0.4,0.6,62523
2023-10-30,498,1.3,63.22,0.92,0.0,60812
2023-10-31,498,1.36,54.62,0.66,0.0,63615
2023-11-01,498,1.64,39.48,0.78,1.98,61569
2023-11-02,498,1.01,52.05,0.0,0.0,63273
2023-11-03,498,1.01,62.95,0.04,0.0,64229
2023-11-04,498,1.31,51.03,0.48,0.0,62543
2023-11-05,498,1.2,46.47,0.27,0.0,62456
2023-11-06,498,1.31,46.02,1.15,0.0,63330
2023-11-07,498,1.1,58.04,0.12,0.0,61658
2023-11-08,498,0.93,51.35,0.0,0.0,62121
2023-11-09,498,1.02,60.24,0.03,0.0,59593
2023-11-10,498,1.42,53.9,0.65,0.0,63248
2023-11-11,498,0.84,62.81,0.02,0.0,63017
2023-11-12,498,1.1,48.11,0.91,0.0,61328
2023-11-13,498,1.41,58.57,1.1,0.0,61749
2023-11-14,498,1.23,48.14,1.05,0.0,62528
2023-11-15,498,1.88,30.01,0.71,4.9,61579
2023-11-16,498,1.23,59.17,0.57,0.0,63130
2023-11-17,498,1.33,44.81,0.26,0.72,62559
2023-11-18,498,0.93,45.58,0.09,0.0,62098
2023-11-19,498,1.32,64.95,0.82,0.0,62848
2023-11-20,498,1.29,57.97,0.29,0.26,63577
2023-11-21,498,1.03,61.0,0.02,0.0,62091
2023-11-22,498,0.97,62.99,0.08,0.0,63037
2023-11-23,498,1.17,48.46,0.81,0.0,64555
2023-11-24,498,1.06,43.31,0.0,0.0,63481
2023-11-25,498,1.15,55.67,0.37,0.0,62627
2023-11-26,498,1.05,64.64,0.0,0.0,60748
2023-11-27,498,1.15,44.44,0.37,0.0,61350
2023-11-28,498,1.13,49.28,0.43,0.0,62033
2023-11-29,498,1.29,47.02,0.58,0.0,63564
2023-11-30,498,1.12,61.21,0.08,0.0,61328
2023-12-01,498,2.01,34.97,1.42,6.87,61131
2023-12-02,498,1.65,43.49,0.59,1.75,62730
2023-12-03,498,2.11,32.57,1.72,8.09,62046
2023-12-04,498,1.5,52.7,0.4,2.26,61246
2023-12-05,498,0.93,49.64,0.04,0.0,62381
2023-12-06,498,1.08,63.1,0.04,0.26,60320
2023-12-07,498,1.39,45.78,0.27,2.39,64824
2023-12-08,498,2.17,33.66,0.91,5.62,62146
2023-12-09,498,0.97,47.68,0.05,0.15,60684
2023-12-10,498,1.69,37.52,0.69,4.06,61342
2023-12-11,498,1.3,61.03,0.98,0.0,60979
2023-12-12,498,1.03,58.52,0.0,0.0,61994
2023-12-13,498,1.86,37.95,0.87,3.65,62877
2023-12-14,498,0.94,61.47,0.0,0.0,60508
2023-12-15,498,1.11,54.42,0.2,0.0,63125
2023-12-16,498,1.48,49.3,1.01,1.49,61174
2023-12-17,498,1.93,24.47,0.97,4.07,62340
2023-12-18,498,1.05,46.6,0.27,0.37,61766
2023-12-19,498,1.48,44.4,0.7,1.19,62762
2023-12-20,498,1.37,51.73,0.96,0.55,61182
2023-12-21,498,2.23,27.2,1.09,6.62,61516
2023-12-22,498,1.41,42.98,0.19,0.57,62328
2023-12-23,498,1.86,36.59,1.19,3.45,64129
2023-12-24,498,1.46,36.96,0.48,2.68,59164
2023-12-25,498,1.96,34.67,1.12,5.14,62080
2023-12-26,498,1.57,47.4,0.69,1.88,62529
2023-12-27,498,2.16,27.6,1.21,8.27,62833
2023-12-28,498,2.12,24.23,1.18,6.53,61114
2023-12-29,498,1.7,31.02,0.73,4.09,63051
2023-12-30,498,1.65,48.47,1.06,2.5,62471
2023-12-31,498,1.06,47.83,0.4,0.0,62063
2024-01-01,498,1.59,38.78,1.02,0.55,61694
2024-01-02,498,0.96,46.49,0.07,0.39,63017
2024-01-03,498,1.35,35.14,0.33,2.43,61650
2024-01-04,498,1.58,37.29,1.24,4.1,62267
2024-01-05,498,1.92,26.4,0.52,3.52,63739
2024-01-06,498,1.86,40.48,0.64,5.06,62262
2024-01-07,498,2.01,42.6,1.28,6.2,61650
2024-01-08,498,1.35,39.07,0.57,2.91,61696
2024-01-09,498,1.28,34.06,0.32,2.21,63614
2024-01-10,498,1.06,57.56,0.08,0.0,61645
2024-01-11,498,1.52,56.57,1.0,0.0,61095
2024-01-12,498,1.78,32.81,1.07,6.07,62852
2024-01-13,498,1.98,31.34,0.95,6.22,62009
2024-01-14,498,2.18,29.83,1.47,4.08,60129
2024-01-15,498,2.05,33.94,1.52,6.27,62592
2024-01-16,498,1.71,43.36,0.52,5.21,62455
2024-01-17,498,1.66,41.49,1.06,2.18,63749
2024-01-18,498,2.18,21.81,1.58,6.77,61488
2024-01-19,498,2.0,33.6,1.47,6.43,61649
2024-01-20,498,1.47,45.55,0.81,1.07,62076
2024-01-21,498,1.94,32.89,1.54,3.69,61815
2024-01-22,498,1.72,35.99,0.64,4.27,62070
2024-01-23,498,1.11,39.81,0.06,0.0,62230
2024-01-24,498,1.33,57.51,0.22,0.55,61837
2024-01-25,498,1.92,32.06,1.46,5.33,60466
2024-01-26,498,1.11,61.15,0.17,0.0,61547
2024-01-27,498,2.3,24.22,1.1,5.89,63291
2024-01-28,498,1.02,54.47,0.29,0.15,62647
2024-01-29,498,1.7,47.55,1.1,2.98,61698
2024-01-30,498,1.81,31.85,1.28,5.69,63823
2024-01-31,498,1.25,57.73,0.37,0.24,60687
2024-02-01,498,2.08,25.57,1.08,6.09,63050
2024-02-02,498,1.0,60.22,0.04,0.24,61192
2024-02-03,498,1.78,29.93,1.03,2.64,63713
2024-02-04,498,2.36,26.52,0.63,5.01,62032
2024-02-05,498,1.38,45.78,0.26,0.55,62983
2024-02-06,498,1.37,54.68,0.46,2.23,61982
2024-02-07,498,1.96,38.3,0.99,3.73,60128
2024-02-08,498,1.53,45.59,1.33,1.51,62860
2024-02-09,498,2.11,31.6,0.66,7.01,62683
2024-02-10,498,1.94,32.39,0.69,4.08,63758
2024-02-11,498,2.07,26.14,1.24,3.82,63419
2024-02-12,498,1.71,39.18,0.86,0.61,62085
2024-02-13,498,1.91,36.63,0.69,6.19,60771
2024-02-14,498,1.21,50.82,0.14,0.0,63432
2024-02-15,498,1.75,30.34,0.8,3.27,62481
2024-02-16,498,2.27,29.27,0.98,8.38,61815
2024-02-17,498,1.16,68.77,0.07,0.54,62639
2024-02-18,498,1.54,49.18,1.24,1.53,60923
2024-02-19,498,1.89,31.28,1.21,6.62,62166
2024-02-20,498,1.35,35.64,0.53,2.74,61858
2024-02-21,498,1.31,56.99,0.26,0.33,61442
2024-02-22,498,1.25,49.21,0.55,2.14,62620
2024-02-23,498,1.26,51.26,0.3,0.38,61876
2024-02-24,498,1.17,50.69,0.35,0.0,60506
2024-02-25,498,1.05,45.47,0.04,0.26,63526
2024-02-26,498,1.94,41.2,0.42,2.9,61741
2024-02-27,498,1.57,48.97,0.47,2.39,63915
2024-02-28,498,1.27,62.3,0.37,0.49,63228
2024-02-29,498,1.65,36.31,1.48,2.29,61733
2024-03-01,498,1.09,58.15,0.07,0.0,61514
2024-03-02,498,1.28,52.96,0.91,0.0,61779
2024-03-03,498,1.82,35.9,0.82,1.57,62519
2024-03-04,498,1.52,45.33,0.59,2.52,62525
2024-03-05,498,1.11,50.18,0.04,0.26,60971
2024-03-06,498,1.43,64.94,0.55,0.0,62372
2024-03-07,498,1.3,60.65,0.63,0.0,62857
2024-03-08,498,1.2,61.89,1.0,0.0,61481
2024-03-09,498,1.21,53.2,0.72,0.0,60737
2024-03-10,498,1.06,51.32,0.12,0.0,62657
2024-03-11,498,1.13,47.12,0.08,0.0,61914
2024-03-12,498,1.39,46.57,0.3,1.78,60529
2024-03-13,498,1.22,44.0,0.31,0.0,61400
2024-03-14,498,1.81,41.31,0.69,5.38,61526
2024-03-15,498,1.38,52.2,0.72,0.0,62177
2024-03-16,498,1.07,48.23,0.08,0.0,62642
2024-03-17,498,1.26,63.87,0.14,0.0,62999
2024-03-18,498,1.24,55.05,0.35,0.0,62438
2024-03-19,498,1.1,65.84,0.38,0.13,62154
2024-03-20,498,1.07,52.19,0.0,0.0,63228
2024-03-21,498,1.02,62.03,0.38,0.0,62504
2024-03-22,498,1.67,38.13,1.41,4.38,61028
2024-03-23,498,1.13,49.78,0.04,0.0,62887
2024-03-24,498,1.09,62.79,0.0,0.0,61156
2024-03-25,498,1.38,43.34,0.47,0.54,61535
2024-03-26,498,1.24,59.31,0.7,0.0,59939
2024-03-27,498,2.13,38.0,1.56,4.17,63240
2024-03-28,498,1.3,58.49,0.46,0.59,60758
2024-03-29,498,0.92,67.17,0.0,0.0,60632
2024-03-30,498,1.64,41.32,0.79,6.12,60761
2024-03-31,498,1.15,62.29,0.81,0.0,62658
2024-04-01,498,1.04,52.63,0.0,0.0,62155
2024-04-02,498,1.19,63.49,0.06,0.27,64187
2024-04-03,498,1.47,51.66,1.26,0.0,61627
2024-04-04,498,1.07,52.9,0.04,0.0,61414
2024-04-05,498,1.25,40.71,0.36,0.96,61037
2024-04-06,498,1.07,42.17,0.26,0.0,63115
2024-04-07,498,1.14,62.28,0.0,0.0,60023
2024-04-08,498,1.34,64.44,0.57,0.0,62552
2024-04-09,498,1.1,64.06,0.34,0.55,62051
2024-04-10,498,1.38,45.79,0.99,0.54,63713
2024-04-11,498,1.86,33.38,0.6,2.95,62984
2024-04-12,498,1.48,62.12,0.81,0.0,60400
2024-04-13,498,1.48,46.49,1.03,0.0,63453
2024-04-14,498,0.94,54.87,0.05,0.0,63454
2024-04-15,498,1.22,57.9,0.53,0.0,62035
2024-04-16,498,0.84,57.32,0.0,0.0,61484
2024-04-17,498,1.2,58.63,0.17,0.0,63037
2024-04-18,498,0.99,57.94,0.06,0.0,62481
2024-04-19,498,0.97,67.7,0.0,0.0,63027
2024-04-20,498,1.21,59.81,0.17,0.0,61701
2024-04-21,498,1.37,52.49,1.31,0.0,61239
2024-04-22,498,0.96,68.28,0.0,0.0,61093
2024-04-23,498,1.29,61.65,1.12,0.0,63736
2024-04-24,498,1.0,52.9,0.21,0.0,61992
2024-04-25,498,1.21,53.64,0.19,0.0,61932
2024-04-26,498,1.18,50.29,0.12,0.0,61610
2024-04-27,498,1.45,47.34,0.92,0.14,60716
2024-04-28,498,1.1,51.38,0.39,0.0,61663
2024-04-29,498,1.24,64.74,0.35,0.0,61723
2024-04-30,498,1.24,49.29,0.76,0.0,62236
2024-05-01,498,1.31,44.16,0.31,2.43,63990
2024-05-02,498,1.27,60.85,0.92,0.0,61684
2024-05-03,498,1.32,57.64,0.86,0.0,60881
2024-05-04,498,1.04,63.1,0.07,0.0,62514
2024-05-05,498,1.03,61.55,0.11,0.35,62566
2024-05-06,498,1.37,51.09,1.13,0.0,61755
2024-05-07,498,1.44,45.77,0.64,0.0,62402
2024-05-08,498,0.92,53.07,0.0,0.0,62607
2024-05-09,498,1.33,51.38,1.28,0.0,62599
2024-05-10,498,1.31,46.02,0.42,0.0,63185
2024-05-11,498,1.21,40.66,0.25,2.38,61979
