weather_condition,route_id,route_name,city,avg_delay,occurrences
Clear,Shuttle-AshmontJFKUMass,Ashmont - JFK/UMass (Shuttle),Boston,1.02,317
Clear,Shuttle-AttleboroProvidenceExpress,Providence - Attleboro (Express),Boston,1.02,317
Clear,Shuttle-BabcockBostonCollege,Boston College - Babcock Street,Boston,1.02,317
Clear,Shuttle-BabcockCopley,Babcock Street - Copley,Boston,1.02,317
Clear,Shuttle-BackBayBostonLanding,Boston Landing - Back Bay,Boston,1.02,317
Clear,Shuttle-BackBayBostonUniversityEast,Boston University East - Back Bay,Boston,1.02,317
Clear,Shuttle-BackBayRuggles,Ruggles - Back Bay,Boston,1.02,317
Clear,Shuttle-BallardvaleMaldenCenter,Ballardvale - Malden Center,Boston,1.02,317
Clear,Shuttle-BostonCollegeKenmore,Boston College - Kenmore,Boston,1.02,317
Clear,Shuttle-BostonCollegePackardsCorner,Boston College - Packard's Corner,Boston,1.02,317
Clear,Shuttle-BostonCollegeWashington,Boston College - Washington Street,Boston,1.02,317
Clear,Shuttle-BroadwayKendall,Kendall/MIT - Broadway via Downtown Crossing,Boston,1.02,317
Clear,Shuttle-BroadwayNorthQuincy,North Quincy - Broadway,Boston,1.02,317
Clear,Shuttle-BrooklineHillsReservoir,Reservoir - Brookline Hills,Boston,1.02,317
Clear,Shuttle-CopleyRiversideExpress,Riverside - Copley (Express),Boston,1.02,317
Clear,Shuttle-CopleyRuggles,Ruggles - Copley,Boston,1.02,317
Clear,Shuttle-GovernmentCenterNorthStation,North Station - Government Center,Boston,1.02,317
Clear,Shuttle-HarvardPark,Harvard - Park Street,Boston,1.02,317
Clear,Shuttle-HaverhillReadingLocal,Haverhill - Reading (Local),Boston,1.02,317
Clear,Shuttle-JFKNorthQuincy,North Quincy - JFK/UMass,Boston,1.02,317
Clear,Shuttle-KenmoreStMarysNotFenway,Saint Mary's Street - Kenmore,Boston,1.02,317
Clear,Shuttle-KenmoreWashington,Washington Street - Kenmore,Boston,1.02,317
Clear,Shuttle-LynnSwampscott,Lynn - Swampscott,Boston,1.02,317
Clear,Shuttle-NewburyportOakGroveLimited,Newburyport - Oak Grove (Limited),Boston,1.02,317
Clear,Shuttle-NewtonHighlandsStMarysKenmore,Newton Highlands - Kenmore via Saint Mary's Street,Boston,1.02,317
Clear,Shuttle-NorthLeominsterWachusett,Wachusett - North Leominster,Boston,1.02,317
Clear,Shuttle-NorthStationUnionSquare,Union Square - North Station,Boston,1.02,317
Clear,Shuttle-OakGroveRockportLimited,Rockport - Oak Grove (Limited),Boston,1.02,317
Clear,Shuttle-PawtucketProvidence,Providence - Pawtucket/Central Falls,Boston,1.02,317
Clear,Shuttle-ReservoirRiverside,Riverside - Reservoir,Boston,1.02,317
Clear,Shuttle-ShirleyWachusett,Wachusett - Shirley,Boston,1.02,317
Clear,Shuttle-SouthStationSouthWeymouth,South Weymouth - South Station,Boston,1.02,317
Clear,1,Broadway - 7 Avenue Local,New York,1.01,339
Clear,1,Harvard Square - Nubian Station,Boston,1.01,317
Clear,10,City Point - Arlington Station,Boston,1.01,317
Clear,101,Malden Center Station - Sullivan Square Station via Winter Hill,Boston,1.01,317
Clear,106,East 103rd,Chicago,1.01,320
Clear,11,City Point - Chauncy Street & Summer Street,Boston,1.01,317
Clear,110,Wonderland Station - Wellington Station,Boston,1.01,317
Clear,111,Woodlawn - Haymarket Station,Boston,1.01,317
Clear,115,Pullman/115th,Chicago,1.01,320
Clear,121,Wood Island Station - Maverick Station,Boston,1.01,317
Clear,134,Stockton/LaSalle Express,Chicago,1.01,320
Clear,14,Roslindale Square - Heath Street,Boston,1.01,317
Clear,2,7 Avenue Express,New York,1.01,339
Clear,21,Ashmont Station - Forest Hills Station,Boston,1.01,317
Clear,216,Houghs Neck - Quincy Center Station via Germantown,Boston,1.01,317
Clear,22,Ashmont Station - Ruggles Station via Talbot Ave,Boston,1.01,317
Clear,220,Hingham Depot - Quincy Center Station,Boston,1.01,317
Clear,23,Ashmont Station - Ruggles Station via Washington Street,Boston,1.01,317
Clear,230,Montello Station - Quincy Center Station,Boston,1.01,317
Clear,28,Mattapan Station - Ruggles Station,Boston,1.01,317
Clear,29,Mattapan Station - Jackson Square Station,Boston,1.01,317
Clear,31,Mattapan Station - Forest Hills Station via Morton Street,Boston,1.01,317
Clear,32,Wolcott or Cleary Square - Forest Hills Station,Boston,1.01,317
Clear,33,River Street & Milton Street - Mattapan Station,Boston,1.01,317
Clear,35,Dedham Mall or Stimson Street - Forest Hills Station,Boston,1.01,317
Clear,354,"North Burlington - State Street, Boston",Boston,1.01,317
Clear,36,Millennium Park or VA Hospital - Forest Hills Station,Boston,1.01,317
Clear,37,Baker Street & Vermont Street - Forest Hills Station,Boston,1.01,317
Clear,39,Pershing,Chicago,1.01,320
Clear,4,North Station - Design Center,Boston,1.01,317
Clear,40,Georgetowne - Forest Hills Station,Boston,1.01,317
Clear,411,Kennedy Drive or Jack Satter House - Malden Center Station,Boston,1.01,317
Clear,42,Forest Hills Station - Nubian Station,Boston,1.01,317
Clear,435,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",Boston,1.01,317
Clear,505,Waltham Center - Federal Street & Franklin Street,Boston,1.01,317
Clear,53,Pulaski,Chicago,1.01,320
Clear,554,Waverley Square - Newton Corner,Boston,1.01,317
Clear,556,Waltham Highlands - Newton Corner,Boston,1.01,317
Clear,57,Laramie,Chicago,1.01,320
Clear,59,Needham Junction - Watertown Square,Boston,1.01,317
Clear,63,63rd,Chicago,1.01,320
Clear,67,67th/69th/71st,Chicago,1.01,320
Clear,67,Turkey Hill - Alewife Station,Boston,1.01,317
Clear,68,Harvard Square - Kendall/MIT Station,Boston,1.01,317
Clear,69,Harvard Square - Lechmere Station,Boston,1.01,317
Clear,71,Watertown Square - Harvard Station,Boston,1.01,317
Clear,714,"Pemberton Point, Hull - Station Street, Hingham",Boston,1.01,317
Clear,716,Cobbs Corner - Mattapan Station,Boston,1.01,317
Clear,72,North,Chicago,1.01,320
Clear,74,Fullerton,Chicago,1.01,320
Clear,741,Logan Airport Terminals - South Station,Boston,1.01,317
Clear,746,Silver Line Way - South Station,Boston,1.01,317
Clear,747,Sullivan Square Station - Ruggles Station,Boston,1.01,317
Clear,75,Belmont Center - Harvard via Huron Avenue,Boston,1.01,317
Clear,76,Lincoln Lab - Alewife Station,Boston,1.01,317
Clear,77,Arlington Heights - Harvard Station,Boston,1.01,317
Clear,78,Arlmont Village - Harvard Station,Boston,1.01,317
Clear,8,Halsted,Chicago,1.01,320
Clear,80,Arlington Center - Lechmere Station,Boston,1.01,317
Clear,83,"Rindge Avenue - Central Square, Cambridge",Boston,1.01,317
Clear,86,Harvard Square - Reservoir Station,Boston,1.01,317
Clear,88,Higgins,Chicago,1.01,320
Clear,89,Clarendon Hill or Davis Station - Sullivan Square Station,Boston,1.01,317
Clear,9,Ashland,Chicago,1.01,320
Clear,93,Sullivan Square Station - Downtown via Bunker Hill Street,Boston,1.01,317
Clear,94,California,Chicago,1.01,320
Clear,95,West Medford or Arlington Center - Sullivan Square Station,Boston,1.01,317
Clear,97,Malden Center Station - Wellington Station,Boston,1.01,317
Clear,Blue,Blue Line,Boston,1.01,317
Clear,Blue,Blue Line,Chicago,1.01,320
Clear,Boat-EastBoston,East Boston Ferry,Boston,1.01,317
Clear,Boat-F7,Quincy Ferry,Boston,1.01,317
Clear,Boat-Lynn,Lynn Ferry,Boston,1.01,317
Clear,CR-Fitchburg,Fitchburg Line,Boston,1.01,317
Clear,CR-Foxboro,Foxboro Event Service,Boston,1.01,317
Clear,CR-Needham,Needham Line,Boston,1.01,317
Clear,CapeFlyer,CapeFLYER,Boston,1.01,317
Clear,F,Queens Blvd Express/6 Av Local,New York,1.01,339
Clear,FS,Franklin Avenue Shuttle,New York,1.01,339
Clear,Green-B,Green Line B,Boston,1.01,317
Clear,N,Broadway Local,New York,1.01,339
Clear,P,Purple Line,Chicago,1.01,320
Clear,Red,Red Line,Boston,1.01,317
Clear,Shuttle-AirportGovernmentCenterExpress,Airport - Government Center (Express),Boston,1.01,317
Clear,Shuttle-AirportGovernmentCenterLocalViaGate,Airport - Government Center via Maverick,Boston,1.01,317
Clear,Shuttle-AirportMaverick,Airport - Maverick,Boston,1.01,317
Clear,Shuttle-AirportWonderland,Airport - Wonderland,Boston,1.01,317
Clear,Shuttle-AlewifeDavis,Alewife - Davis,Boston,1.01,317
Clear,Shuttle-AlewifeKendall,Alewife - Kendall/MIT,Boston,1.01,317
Clear,Shuttle-AshmontBraintree,Ashmont - Braintree,Boston,1.01,317
Clear,Shuttle-AshmontJFK,Ashmont - JFK/UMass,Boston,1.01,317
Clear,Shuttle-AshmontMattapan,Mattapan - Ashmont,Boston,1.01,317
Clear,Shuttle-AshmontParkStreetViaPostOffice,Ashmont - Park Street via Post Office,Boston,1.01,317
Clear,Shuttle-BabcockBackBay,Babcock Street - Back Bay,Boston,1.01,317
Clear,Shuttle-BabcockBlandford,Babcock Street - Blandford Street,Boston,1.01,317
Clear,Shuttle-BabcockStreetBackBayViaCopley,Babcock Street - Back Bay via Copley (Shuttle),Boston,1.01,317
Clear,Shuttle-BackBayForestHills,Forest Hills - Back Bay,Boston,1.01,317
Clear,Shuttle-BackBayKenmore,Kenmore - Back Bay,Boston,1.01,317
Clear,Shuttle-BackBayStMarys,Saint Mary's Street - Back Bay,Boston,1.01,317
Clear,Shuttle-BeverlyNewburyportExpress,Newburyport - Beverly (Express),Boston,1.01,317
Clear,Shuttle-BeverlyNewburyportLocal,Newburyport - Beverly (Local),Boston,1.01,317
Clear,Shuttle-BeverlyNorthStationLimited,Beverly - North Station (Limited),Boston,1.01,317
Clear,Shuttle-BeverlyRockportLocal,Beverly - Rockport (Local),Boston,1.01,317
Clear,Shuttle-BlandfordWashington,Washington Street - Blandford Street,Boston,1.01,317
Clear,Shuttle-BostonUniversityEastPark,Boston University East - Park Street,Boston,1.01,317
Clear,Shuttle-BradfordHaverhill,Haverhill - Bradford,Boston,1.01,317
Clear,Shuttle-BraintreeJFKUMass,Braintree - JFK/UMass (Shuttle),Boston,1.01,317
Clear,Shuttle-BraintreeSouthStationExpress,Braintree - South Station (Express),Boston,1.01,317
Clear,Shuttle-BraintreeSouthWeymouth,South Weymouth - Braintree,Boston,1.01,317
Clear,Shuttle-BroadwayJFK,JFK/UMass - Broadway,Boston,1.01,317
Clear,Shuttle-BroadwayKendallOmitDTX,Kendall/MIT - Broadway via Pearl Street,Boston,1.01,317
Clear,Shuttle-BrooklineHillsNewtonHighlands,Newton Highlands - Brookline Hills,Boston,1.01,317
Clear,Shuttle-BrooklineHillsRiverside,Riverside - Brookline Hills,Boston,1.01,317
Clear,Shuttle-ChelseaLynn,Lynn - Chelsea,Boston,1.01,317
Clear,Shuttle-ClevelandCircleCoolidgeCorner,Cleveland Circle - Coolidge Corner,Boston,1.01,317
Clear,Shuttle-ClevelandCircleKenmore,Cleveland Circle - Kenmore,Boston,1.01,317
Clear,Shuttle-ClevelandCircleStMarys,Cleveland Circle - Saint Mary's Street,Boston,1.01,317
Clear,Shuttle-CopleyJacksonSquare,Jackson Square - Copley,Boston,1.01,317
Clear,Shuttle-CopleyKenmore,Kenmore - Copley,Boston,1.01,317
Clear,Shuttle-CopleyWoodlandLimited,Woodland - Copley via Riverside (Express),Boston,1.01,317
Clear,Shuttle-EastSomervilleMedford,Medford/Tufts - East Somerville,Boston,1.01,317
Clear,Shuttle-FenwayNewtonHighlands,Newton Highlands - Fenway,Boston,1.01,317
Clear,Shuttle-FenwayReservoir,Reservoir - Fenway,Boston,1.01,317
Clear,Shuttle-ForestHillsBackBayViaCopley,Forest Hills - Back Bay via Copley (Shuttle),Boston,1.01,317
Clear,Shuttle-ForestHillsNeedhamHeights,Needham Heights - Forest Hills,Boston,1.01,317
Clear,Shuttle-ForestHillsNewtonHighlands,Newton Highlands - Forest Hills,Boston,1.01,317
Clear,Shuttle-ForestHillsRuggles,Forest Hills - Ruggles,Boston,1.01,317
Clear,Shuttle-ForgeParkNorwoodCentral,Forge Park/495 - Norwood Central,Boston,1.01,317
Clear,Shuttle-ForgeParkReadville,Forge Park/495 - Readville,Boston,1.01,317
Clear,Shuttle-ForgeParkSouthStation,Forge Park/495 - South Station,Boston,1.01,317
Clear,Shuttle-FraminghamWorcesterExpress,Worcester - Framingham (Express),Boston,1.01,317
Clear,Shuttle-GovernmentCenterMedfordViaUnionSq,Medford/Tufts - Government Center via Union Square,Boston,1.01,317
Clear,Shuttle-GovernmentCenterUnionSquare,Union Square - Government Center,Boston,1.01,317
Clear,Shuttle-GreenbushNorthScituate,Greenbush - North Scituate,Boston,1.01,317
Clear,Shuttle-HalifaxKingston,Kingston - Halifax,Boston,1.01,317
Clear,Shuttle-HaverhillNorthStation,Haverhill - North Station,Boston,1.01,317
Clear,Shuttle-HaverhillReadingExpress,Haverhill - Reading (Express),Boston,1.01,317
Clear,Shuttle-HaymarketAirportExpress,Haymarket - Airport (Express),Boston,1.01,317
Clear,Shuttle-HaymarketAirportLocal,Haymarket - Airport (Local),Boston,1.01,317
Clear,Shuttle-HeathPark,Heath Street - Park Street,Boston,1.01,317
Clear,Shuttle-HeathPrudential,Heath Street - Prudential,Boston,1.01,317
Clear,Shuttle-JFKParkStreetViaPostOffice,JFK/UMass - Park Street via Post Office,Boston,1.01,317
Clear,Shuttle-KenmoreBackBayViaCopley,Kenmore - Back Bay via Copley (Shuttle),Boston,1.01,317
Clear,Shuttle-KenmoreRiverside,Riverside - Kenmore,Boston,1.01,317
Clear,Shuttle-KenmoreStMarysRiverside,Riverside - Kenmore via Saint Mary's Street,Boston,1.01,317
Clear,Shuttle-LechmereNorthStation,Lechmere - North Station,Boston,1.01,317
Clear,Shuttle-LittletonWachusett,Wachusett - Littleton/Route 495,Boston,1.01,317
Clear,Shuttle-LowellWilmington,Lowell - Wilmington,Boston,1.01,317
Clear,Shuttle-ManchesterRockport,Manchester - Rockport,Boston,1.01,317
Clear,Shuttle-MedfordNorthStation,Medford/Tufts - North Station,Boston,1.01,317
Clear,Shuttle-NewburyportSalemExpress,Newburyport - Salem (Express),Boston,1.01,317
Clear,Shuttle-NewtonHighlandsReservoir,Newton Highlands - Reservoir,Boston,1.01,317
Clear,Shuttle-NewtonHighlandsRiverside,Riverside - Newton Highlands,Boston,1.01,317
Clear,Shuttle-NorthStationMedfordTufts,North Station - Medford/Tufts (Shuttle),Boston,1.01,317
Clear,Shuttle-NorthStationOakGroveLocal,North Station - Oak Grove (Local),Boston,1.01,317
Clear,Shuttle-NorthStationSullivanSquare,North Station - Sullivan Square via East Somerville,Boston,1.01,317
Clear,Shuttle-NorthStationSwampscottLimited,Swampscott - North Station (Limited),Boston,1.01,317
Clear,Shuttle-OrientHeightsGovernmentCenterLocal,Orient Heights - Government Center (Local),Boston,1.01,317
Clear,Shuttle-OrientHeightsWonderland,Wonderland - Orient Heights,Boston,1.01,317
Clear,Shuttle-ReadvilleSouthStation,Readville - South Station,Boston,1.01,317
Clear,Shuttle-RiversideCopley,Riverside - Copley (Shuttle),Boston,1.01,317
Clear,Shuttle-RockportSalemLocal,Rockport - Salem (Local),Boston,1.01,317
Clear,Shuttle-TFGreenWickfordJunction,Wickford Junction - TF Green Airport,Boston,1.01,317
Clear,Shuttle-WonderlandAirport,Wonderland - Airport (Shuttle),Boston,1.01,317
Clear,106,Lebanon Loop - Wellington Station,Boston,1.0,317
Clear,11,Lincoln,Chicago,1.0,320
Clear,111,111th/King Drive,Chicago,1.0,320
Clear,116,Wonderland Station - Maverick Station,Boston,1.0,317
Clear,12,Roosevelt,Chicago,1.0,320
Clear,120,Orient Heights Station - Jeffries Point,Boston,1.0,317
Clear,125,Water Tower Express,Chicago,1.0,320
Clear,126,Jackson,Chicago,1.0,320
Clear,131,Melrose Highlands - Malden Center Station,Boston,1.0,317
Clear,151,Sheridan,Chicago,1.0,320
Clear,155,Devon,Chicago,1.0,320
Clear,157,Streeterville/Taylor,Chicago,1.0,320
Clear,171,Logan Airport Terminals - Nubian Station,Boston,1.0,317
Clear,18,Ashmont Station - Andrew Station,Boston,1.0,317
Clear,195,Lemuel Shattuck Hospital - Park Street & Tremont Street,Boston,1.0,317
Clear,20,Madison,Chicago,1.0,320
Clear,201,Central/Ridge,Chicago,1.0,320
Clear,211,Quincy Center Station - Squantum,Boston,1.0,317
Clear,215,Quincy Center Station - Ashmont Station via West Quincy,Boston,1.0,317
Clear,225,Weymouth Landing - Quincy Center Station,Boston,1.0,317
Clear,226,Columbian Square - Braintree Station,Boston,1.0,317
Clear,245,Quincy Center Station - Mattapan Station,Boston,1.0,317
Clear,28,Stony Island,Chicago,1.0,320
Clear,29,State,Chicago,1.0,320
Clear,3,7 Avenue Express,New York,1.0,339
Clear,3,King Drive,Chicago,1.0,320
Clear,30,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,Boston,1.0,317
Clear,30,South Chicago,Chicago,1.0,320
Clear,34,South Michigan,Chicago,1.0,320
Clear,351,Bedford Woods Drive - Third Avenue,Boston,1.0,317
Clear,36,Broadway,Chicago,1.0,320
Clear,37,Sedgwick,Chicago,1.0,320
Clear,38,Wren Street - Forest Hills Station,Boston,1.0,317
Clear,4,Cottage Grove,Chicago,1.0,320
Clear,4,Lexington Avenue Express,New York,1.0,339
Clear,4050,Georgetowne - Forest Hills Station,Boston,1.0,317
Clear,41,Centre Street & Eliot Street - JFK/UMass Station,Boston,1.0,317
Clear,429,"Northgate Shopping Center - Central Square, Lynn",Boston,1.0,317
Clear,43,43rd,Chicago,1.0,320
Clear,430,Saugus Center - Malden Center Station,Boston,1.0,317
Clear,436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Boston,1.0,317
Clear,441,Marblehead - Wonderland Station via Paradise Road,Boston,1.0,317
Clear,450,Salem Depot - Wonderland or Haymarket Station,Boston,1.0,317
Clear,451,North Beverly Station - Salem Depot,Boston,1.0,317
Clear,49,Western,Chicago,1.0,320
Clear,5,Lexington Avenue Express,New York,1.0,339
Clear,501,Brighton Center - Federal Street & Franklin Street,Boston,1.0,317
Clear,504,Watertown Yard - Federal Street & Franklin Street,Boston,1.0,317
Clear,54B,South Cicero,Chicago,1.0,320
Clear,55,Garfield,Chicago,1.0,320
Clear,55N,55th/Narragansett,Chicago,1.0,320
Clear,57,Watertown Yard - Kenmore Station,Boston,1.0,317
Clear,59,59th/61st,Chicago,1.0,320
Clear,6,Jackson Park Express,Chicago,1.0,320
Clear,61,North Waltham - Waltham Center,Boston,1.0,317
Clear,62,Archer,Chicago,1.0,320
Clear,64,Oak Square - University Park or Kendall/MIT Station,Boston,1.0,317
Clear,65,Brighton Center - Kenmore Station,Boston,1.0,317
Clear,66,Chicago,Chicago,1.0,320
Clear,7,Flushing Local,New York,1.0,339
Clear,71,71st/South Shore,Chicago,1.0,320
Clear,73,Armitage,Chicago,1.0,320
Clear,8,Harbor Point - Kenmore Station,Boston,1.0,317
Clear,81,Lawrence,Chicago,1.0,320
Clear,81W,West Lawrence,Chicago,1.0,320
Clear,84,Peterson,Chicago,1.0,320
Clear,86,Narragansett/Ridgeland,Chicago,1.0,320
Clear,87,87th,Chicago,1.0,320
Clear,9,City Point - Copley Square,Boston,1.0,317
Clear,90,Davis Station - Assembly Row,Boston,1.0,317
Clear,91,"Sullivan Square Station - Central Square, Cambridge",Boston,1.0,317
Clear,96,Lunt,Chicago,1.0,320
Clear,A,8 Avenue Express,New York,1.0,339
Clear,Boat-F1,Hingham/Hull Ferry,Boston,1.0,317
Clear,Boat-F4,Charlestown Ferry,Boston,1.0,317
Clear,Boat-F6,Winthrop Ferry,Boston,1.0,317
Clear,C,8 Avenue Local,New York,1.0,339
Clear,CR-Fairmount,Fairmount Line,Boston,1.0,317
Clear,CR-Haverhill,Haverhill Line,Boston,1.0,317
Clear,CR-Newburyport,Newburyport/Rockport Line,Boston,1.0,317
Clear,D,6 Avenue Express,New York,1.0,339
Clear,G,Green Line,Chicago,1.0,320
Clear,GS,42 St Shuttle,New York,1.0,339
Clear,Green-D,Green Line D,Boston,1.0,317
Clear,H,Rockaway Park Shuttle,New York,1.0,339
Clear,J,Nassau St Local,New York,1.0,339
Clear,J14,Jeffery Jump,Chicago,1.0,320
Clear,L,14 St-Canarsie Local,New York,1.0,339
Clear,Mattapan,Mattapan Trolley,Boston,1.0,317
Clear,R,Broadway Local,New York,1.0,339
Clear,Red,Red Line,Chicago,1.0,320
Clear,Shuttle-AirportGovernmentCenterLocal,Airport - Government Center (Local),Boston,1.0,317
Clear,Shuttle-AlewifeHarvardViaHolyoke,Alewife - Harvard via Holyoke Street,Boston,1.0,317
Clear,Shuttle-AlewifeKendallExpress,Alewife - Kendall/MIT via Porter (Express),Boston,1.0,317
Clear,Shuttle-AlewifeLittletonLocal,Littleton/Route 495 - Alewife (Local),Boston,1.0,317
Clear,Shuttle-AlewifeParkSt,Alewife - Park Street,Boston,1.0,317
Clear,Shuttle-AndersonWoburnNorthStationExpress,Anderson/Woburn - North Station (Express),Boston,1.0,317
Clear,Shuttle-AndersonWoburnReading,Reading - Anderson/Woburn,Boston,1.0,317
Clear,Shuttle-AndoverHaverhill,Haverhill - Andover,Boston,1.0,317
Clear,Shuttle-AshmontBroadway,Ashmont - Broadway,Boston,1.0,317
Clear,Shuttle-BabcockKenmore,Babcock Street - Kenmore,Boston,1.0,317
Clear,Shuttle-BackBayFraminghamExpress,Framingham - Back Bay (Express),Boston,1.0,317
Clear,Shuttle-BackBayWellesleyHillsLocal,Wellesley Hills - Back Bay (Local),Boston,1.0,317
Clear,Shuttle-BallardvaleNorthStation,Ballardvale - North Station,Boston,1.0,317
Clear,Shuttle-BeverlyRockportExpress,Beverly - Rockport (Express),Boston,1.0,317
Clear,Shuttle-BlandfordBostonCollege,Boston College - Blandford Street,Boston,1.0,317
Clear,Shuttle-BraintreeBroadway,Braintree - Broadway,Boston,1.0,317
Clear,Shuttle-BraintreeNorthQuincy,Braintree - North Quincy,Boston,1.0,317
Clear,Shuttle-BraintreeQuincyCenter,Braintree - Quincy Center,Boston,1.0,317
Clear,Shuttle-BrooklineVillageRiverside,Riverside - Brookline Village,Boston,1.0,317
Clear,Shuttle-FenwayKenmore,Fenway - Kenmore,Boston,1.0,317
Clear,Shuttle-FenwayRiverside,Riverside - Fenway,Boston,1.0,317
Clear,Shuttle-ForestHillsBackBay,Forest Hills - Back Bay (Shuttle),Boston,1.0,317
Clear,Shuttle-ForestHillsJackson,Forest Hills - Jackson Square,Boston,1.0,317
Clear,Shuttle-ForgeParkWalpole,Forge Park/495 - Walpole,Boston,1.0,317
Clear,Shuttle-FraminghamSouthStationExpress,Framingham - South Station (Express),Boston,1.0,317
Clear,Shuttle-GovernmentCenterMedfordTufts,Government Center - Medford/Tufts (Shuttle),Boston,1.0,317
Clear,Shuttle-HaverhillMaldenCenter,Haverhill - Malden Center,Boston,1.0,317
Clear,Shuttle-JFKKendall,Kendall/MIT - JFK/UMass,Boston,1.0,317
Clear,Shuttle-JFKPark,JFK/UMass - Park Street,Boston,1.0,317
