route_id,route_name,city,records,avg_delay,max_delay,total_trips,days_tracked
60,Blue Island/26th,Chicago,731,1.31,2.76,91190,731
100,Elm Street - Wellington Station,Boston,731,1.31,2.76,92774,731
451,North Beverly Station - Salem Depot,Boston,731,1.31,2.74,90414,731
45,Franklin Park - Ruggles Station,Boston,731,1.31,2.71,90421,731
10,City Point - Arlington Station,Boston,731,1.31,2.71,92701,731
441442,Marblehead - Wonderland Station,Boston,731,1.31,2.76,92055,731
1,Harvard Square - Nubian Station,Boston,731,1.31,2.76,92584,731
Shuttle-ClevelandCircleStMarys,Cleveland Circle - Saint Mary's Street,Boston,731,1.3,2.76,91209,731
Shuttle-BrooklineVillageRiverside,Riverside - Brookline Village,Boston,731,1.3,2.72,88366,731
Shuttle-RockportWestGloucester,Rockport - West Gloucester,Boston,731,1.3,2.71,90575,731
Shuttle-ClevelandCircleCoolidgeCorner,Cleveland Circle - Coolidge Corner,Boston,731,1.3,2.74,91296,731
108,Halsted/95th,Chicago,731,1.3,2.74,89357,731
Shuttle-RockportSalemExpress,Rockport - Salem (Express),Boston,731,1.3,2.75,90585,731
Shuttle-ClevelandCircleKenmore,Cleveland Circle - Kenmore,Boston,731,1.3,2.59,92668,731
Shuttle-BlandfordWashington,Washington Street - Blandford Street,Boston,731,1.3,2.78,89861,731
Shuttle-RiversideKenmore,Riverside - Kenmore (Shuttle),Boston,731,1.3,2.7,91111,731
Shuttle-BallardvaleNorthStation,Ballardvale - North Station,Boston,731,1.3,2.76,90128,731
Shuttle-ReservoirRiverside,Riverside - Reservoir,Boston,731,1.3,2.77,91022,731
Shuttle-ReadvilleSouthStation,Readville - South Station,Boston,731,1.3,2.69,90268,731
165,West 65th,Chicago,731,1.3,2.76,89166,731
11,City Point - Chauncy Street & Summer Street,Boston,731,1.3,2.73,91623,731
Shuttle-OrientHeightsGovernmentCenterLocal,Orient Heights - Government Center (Local),Boston,731,1.3,2.65,88943,731
Shuttle-CopleyWoodlandLimited,Woodland - Copley via Riverside (Express),Boston,731,1.3,2.68,91373,731
21,Ashmont Station - Forest Hills Station,Boston,731,1.3,2.76,90548,731
Shuttle-BeverlyNewburyportExpress,Newburyport - Beverly (Express),Boston,731,1.3,2.72,91341,731
171,U. of Chicago/Hyde Park,Chicago,731,1.3,2.71,88300,731
Shuttle-BlandfordBostonCollege,Boston College - Blandford Street,Boston,731,1.3,2.74,90982,731
W,Broadway Local,New York,731,1.3,2.66,90398,731
Shuttle-WonderlandAirport,Wonderland - Airport (Shuttle),Boston,731,1.3,2.71,91884,731
Shuttle-BostonUniversityEastPark,Boston University East - Park Street,Boston,731,1.3,2.74,92729,731
Shuttle-SuffolkDownsWonderland,Wonderland - Suffolk Downs,Boston,731,1.3,2.71,91590,731
Shuttle-BeverlyRockportLocal,Beverly - Rockport (Local),Boston,731,1.3,2.71,91530,731
Shuttle-BeverlyRockportExpress,Beverly - Rockport (Express),Boston,731,1.3,2.68,89886,731
Shuttle-BradfordHaverhill,Haverhill - Bradford,Boston,731,1.3,2.7,90893,731
Shuttle-BraintreeBroadway,Braintree - Broadway,Boston,731,1.3,2.66,92104,731
Shuttle-BraintreeJFKUMass,Braintree - JFK/UMass (Shuttle),Boston,731,1.3,2.61,90345,731
Shuttle-OrientHeightsGovernmentCenterExpress,Orient Heights - Government Center (Express),Boston,731,1.3,2.67,90381,731
2,7 Avenue Express,New York,731,1.3,2.71,90517,731
195,Lemuel Shattuck Hospital - Park Street & Tremont Street,Boston,731,1.3,2.63,88835,731
Shuttle-BraintreeSouthWeymouth,South Weymouth - Braintree,Boston,731,1.3,2.68,91171,731
192,University of Chicago Hospitals Express,Chicago,731,1.3,2.66,90510,731
Shuttle-BeverlyNorthStationLimited,Beverly - North Station (Limited),Boston,731,1.3,2.73,89825,731
18,Ashmont Station - Andrew Station,Boston,731,1.3,2.69,92267,731
Shuttle-BrooklineHillsNewtonHighlands,Newton Highlands - Brookline Hills,Boston,731,1.3,2.68,91121,731
Shuttle-NewburyportSalemLocal,Newburyport - Salem (Local),Boston,731,1.3,2.67,90352,731
Shuttle-ForestHillsBackBayViaCopley,Forest Hills - Back Bay via Copley (Shuttle),Boston,731,1.3,2.65,91259,731
Shuttle-FenwayNewtonHighlands,Newton Highlands - Fenway,Boston,731,1.3,2.74,91440,731
Shuttle-JFKUMassKendallMIT,JFK/UMass - Kendall/MIT (Shuttle),Boston,731,1.3,2.73,93457,731
132,Redstone Shopping Center - Malden Center Station,Boston,731,1.3,2.63,92139,731
131,Melrose Highlands - Malden Center Station,Boston,731,1.3,2.74,89918,731
Shuttle-HeathPark,Heath Street - Park Street,Boston,731,1.3,2.76,90049,731
Shuttle-NorthStationOakGroveLocal,North Station - Oak Grove (Local),Boston,731,1.3,2.63,88814,731
Shuttle-JFKKendall,Kendall/MIT - JFK/UMass,Boston,731,1.3,2.7,90083,731
Shuttle-JFKMattapan,Mattapan - JFK/UMass,Boston,731,1.3,2.63,92159,731
Shuttle-NorthStationOakGroveExpress,North Station - Oak Grove (Express),Boston,731,1.3,2.76,92522,731
124,Navy Pier,Chicago,731,1.3,2.79,92360,731
Shuttle-NorthStationMedfordTufts,North Station - Medford/Tufts (Shuttle),Boston,731,1.3,2.7,90408,731
111,Woodlawn - Haymarket Station,Boston,731,1.3,2.66,92256,731
112,Vincennes/111th,Chicago,731,1.3,2.75,92087,731
Shuttle-KenmoreRiverside,Riverside - Kenmore,Boston,731,1.3,2.66,92141,731
Shuttle-FenwayRiverside,Riverside - Fenway,Boston,731,1.3,2.71,91431,731
112,Wellington Station - Wood Island Station,Boston,731,1.3,2.65,92410,731
Shuttle-KenmoreWashington,Washington Street - Kenmore,Boston,731,1.3,2.77,94481,731
Shuttle-NewtonHighlandsRiverside,Riverside - Newton Highlands,Boston,731,1.3,2.77,90743,731
Shuttle-LittletonWachusett,Wachusett - Littleton/Route 495,Boston,731,1.3,2.61,93160,731
Shuttle-LowellWilmington,Lowell - Wilmington,Boston,731,1.3,2.65,91874,731
Shuttle-NewtonHighlandsReservoir,Newton Highlands - Reservoir,Boston,731,1.3,2.63,90595,731
119,Northgate Shopping Center - Beachmont Station,Boston,731,1.3,2.71,92443,731
Shuttle-ManchesterRockport,Manchester - Rockport,Boston,731,1.3,2.67,92040,731
Shuttle-MedfordNorthStation,Medford/Tufts - North Station,Boston,731,1.3,2.69,91608,731
Shuttle-NewburyportOakGroveExpress,Newburyport - Oak Grove (Express),Boston,731,1.3,2.61,90678,731
Shuttle-NewburyportOakGroveLimited,Newburyport - Oak Grove (Limited),Boston,731,1.3,2.71,92070,731
Shuttle-BackBayStMarys,Saint Mary's Street - Back Bay,Boston,731,1.3,2.7,91748,731
Shuttle-NorthStationSullivanSquare,North Station - Sullivan Square via East Somerville,Boston,731,1.3,2.75,91834,731
Shuttle-HaverhillNorthStation,Haverhill - North Station,Boston,731,1.3,2.76,91995,731
Shuttle-HaverhillMaldenCenter,Haverhill - Malden Center,Boston,731,1.3,2.74,90233,731
Shuttle-ForestHillsBackBay,Forest Hills - Back Bay (Shuttle),Boston,731,1.3,2.71,90687,731
Shuttle-OakGroveReading,Reading - Oak Grove,Boston,731,1.3,2.76,89495,731
119,Michigan/119th,Chicago,731,1.3,2.75,91702,731
Shuttle-ForestHillsJackson,Forest Hills - Jackson Square,Boston,731,1.3,2.68,92700,731
152,Addison,Chicago,731,1.3,2.73,90909,731
Shuttle-NorthStationWellingtonLocal,North Station - Wellington (Local),Boston,731,1.3,2.69,89779,731
Shuttle-NorthStationWellingtonExpress,North Station - Wellington (Express),Boston,731,1.3,2.68,90541,731
Shuttle-ForestHillsNewtonHighlands,Newton Highlands - Forest Hills,Boston,731,1.3,2.72,90228,731
Shuttle-ForestHillsRuggles,Forest Hills - Ruggles,Boston,731,1.3,2.71,91087,731
15,Jeffery Local,Chicago,731,1.3,2.74,90737,731
Shuttle-ForgeParkReadville,Forge Park/495 - Readville,Boston,731,1.3,2.68,91695,731
Shuttle-ForgeParkSouthStation,Forge Park/495 - South Station,Boston,731,1.3,2.68,89578,731
Shuttle-ForgeParkWalpole,Forge Park/495 - Walpole,Boston,731,1.3,2.71,92414,731
Shuttle-FraminghamSouthStationExpress,Framingham - South Station (Express),Boston,731,1.3,2.63,93522,731
Shuttle-FraminghamWorcesterExpress,Worcester - Framingham (Express),Boston,731,1.3,2.73,91197,731
148,Clarendon/Michigan Express,Chicago,731,1.3,2.65,91699,731
143,Stockton/Michigan Express,Chicago,731,1.3,2.74,91901,731
